source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes,EC review,EC notes,DB notes.1,Unnamed: 15,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,Unnamed: 24,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
17,SCOPUS_ID:0141997855,10.1093/aje/kwg218,"Differences in body shape representations among young adults from a biracial (Black-White), semirural community: The Bogalusa Heart Study",American Journal of Epidemiology,2003.0,"['Blacks', 'Body image', 'Body mass index', 'Body weight', 'Perception', 'Psychology', 'Whites']",United States,84.0,0.0,1.0,"""This has implications"" - marginal, but still…",1.0,"Hard one, they do say policy implications but without specifying.","LLM prompt edited for generic ""this has policy implications"" abstracts. New prompt=TRUE",,,,,,1.0,,True,,,True,True,,True,0.84,True,yes,0.97,0.95,1693,50,7.1106e-05,264.5274169917684,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-Fjer67VyaNu6CzhtlUVa,,1d16b25dcca8,2026-09-19T18:39:37+00:00
18,SCOPUS_ID:85195147269,10.1007/s10654-024-01134-4,Trends in incidence and mortality of early-onset cancer in Germany between 1999 and 2019,European Journal of Epidemiology,2024.0,"['Cancer', 'Germany', 'Incidence', 'Mortality']",Germany,1.0,0.0,1.0,,1.0,We recommend followed by policy ,,,,,,,1.0,,True,,,True,True,,True,0.96,True,yes,1.0,1.0,1666,50,6.9972e-05,312.7299580082763,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-MKousgBXNhm0xZftf95u,,1d16b25dcca8,2026-09-19T18:39:37+00:00
19,SCOPUS_ID:0037209068,10.1097/00001648-200301000-00009,The effect of concurvity in generalized additive models linking mortality to ambient particulate matter,Epidemiology,2003.0,"['Air pollution', 'Concurvity', 'Generalized additive model', 'PM 10', 'PM 2.5', 'Sulfate particles']",Canada,212.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1562,50,6.5604e-05,339.3338330206461,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-3hDbXjx1JEbBk2bE4nrc,,1d16b25dcca8,2026-09-19T18:39:37+00:00
20,SCOPUS_ID:85097113376,10.1093/aje/kwaa139,Incidence Correction Factors for Moderate and Severe Acute Child Malnutrition from 2 Longitudinal Cohorts in Mali and Burkina Faso,American Journal of Epidemiology,2020.0,"['burden of acute malnutrition', 'child acute malnutrition', 'cumulative incidence', 'incidence correction factor K', 'longitudinal data', 'moderate acute malnutrition', 'prevalence', 'severe acute malnutrition']",United States,5.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.05,False,no,0.0,1.0,1666,50,6.9972e-05,267.68366602482274,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-KmkcMdS5ZxiwlSfX6mrx,,1d16b25dcca8,2026-09-19T18:39:37+00:00
21,SCOPUS_ID:70249102791,10.1093/aje/kwp179,Determinants of first puff and daily cigarette smoking in adolescents,American Journal of Epidemiology,2009.0,"['Adolescent', 'Epidemiologic factors', 'Incidence', 'Longitudinal studies', 'Risk factors', 'Smoking']",Canada,186.0,0.0,1.0,clear,1.0,"Agreed, with the use of 'strategies'",,,,,,,1.0,,True,,,True,True,,True,0.97,True,yes,1.0,1.0,1646,50,6.9132e-05,382.98416600446217,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-YCe1VPBea6O1Tmg4hECK,,1d16b25dcca8,2026-09-19T18:39:37+00:00
22,SCOPUS_ID:0031689886,10.1016/S0749-3797(98)00049-X,Costs of maternal conditions attributable to smoking during pregnancy,American Journal of Preventive Medicine,1998.0,"['Cost', 'Economics', 'Health behavior', 'Health care costs', 'Pregnancy', 'Smoking', 'Surveys']",United States,35.0,0.0,1.0,marginal,1.0,,,,,,,,1.0,,True,,,True,True,,True,0.91,True,yes,0.99,0.98,1739,50,7.3038e-05,358.53974998462945,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-QPGm41xAMisJi2nTur4a,,1d16b25dcca8,2026-09-19T18:39:37+00:00
23,SCOPUS_ID:85149642428,10.2105/AJPH.2022.307207,"Housing Instability and Evictions Linked to Elevated Intimate Partner and Workplace Violence Among Women Sex Workers in Vancouver, Canada: Findings of a Prospective, Community-Based Cohort, 2010-2019",American Journal of Public Health,2022.0,[],United States,4.0,0.0,1.0,clear,1.0,,,,,,,,1.0,,True,,,True,True,,True,0.97,True,yes,1.0,1.0,1672,50,7.0224e-05,304.90937500144355,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-dmJpDh4Y6YgyLXIeZn0n,,1d16b25dcca8,2026-09-19T18:39:37+00:00
24,SCOPUS_ID:0028286476,10.1136/jech.48.3.313,Estimating confidence limits on a standardised mortality ratio when the expected number is not error free,Journal of Epidemiology & Community Health,1994.0,[],United Kingdom,40.0,0.0,0.0,clear LLM mistake?,0.0,"Agreed, not sure what it picked up here",me neither - all we can do is a the best with our prompts,,,,,,0.0,,False,,,False,False,,True,0.2,False,no,0.21,0.57,1694,50,7.1148e-05,258.2211660046596,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-JyJwAlV6O3UCdtgdHgtj,,1d16b25dcca8,2026-09-19T18:39:37+00:00
25,SCOPUS_ID:0028784286,10.1093/oxfordjournals.aje.a117747,Preschool physical activity level and change in body fatness in young children: The framingham children's study,American Journal of Epidemiology,1995.0,"['Child', 'Exercise', 'Obesity', 'Prospective studies', 'Skinfold thickness']",United States,211.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1710,50,7.182e-05,321.3166669884231,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-MpoQXXYPzL6Qng0WDruq,,1d16b25dcca8,2026-09-19T18:39:37+00:00
26,SCOPUS_ID:85123459610,10.1093/ije/dyab095,Maternal smoking and smokeless tobacco use during pregnancy and offspring development: Sibling analysis in an intergenerational Swedish cohort,International Journal of Epidemiology,2021.0,"['confounding', 'fetal growth restriction', 'Intellectual disability', 'maternal prenatal smoking', 'siblings', 'snus']",United Kingdom,8.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1766,50,7.4172e-05,284.9937920109369,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-Z7pupHfsVDPsFEHAJhSB,,1d16b25dcca8,2026-09-19T18:39:37+00:00
27,SCOPUS_ID:0028997640,10.2105/AJPH.85.6.854,A preventive child health program: The effect of telephone and home visits by public health nurses,American Journal of Public Health,1995.0,[],United States,20.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1473,50,6.1866e-05,243.10474999947473,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-4cMDdgeqDy1M6tfN4r5E,,1d16b25dcca8,2026-09-19T18:39:37+00:00
28,SCOPUS_ID:78650909890,10.2105/AJPH.2009.182287,Potential national and state medical care savings from primary disease prevention,American Journal of Public Health,2011.0,[],United States,22.0,0.0,0.0,clear LLM mistake?,0.0,"Agreed, not sure what it picked up here",,,,,,,1.0,,False,,,False,False,,True,0.59,True,yes,0.62,0.23,1595,50,6.699e-05,840.6462080019992,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-NGzIxQ4fTMuS465l3ufk,,1d16b25dcca8,2026-09-19T18:39:38+00:00
29,SCOPUS_ID:0026733346,10.1093/oxfordjournals.aje.a116486,Childhood weight and growth rate as predictors of adult mortality,American Journal of Epidemiology,1992.0,"['Anthropometry', 'Body height', 'Body weight', 'Child', 'Growth', 'Mortality']",United States,207.0,0.0,0.0,clear LLM mistake?,0.0,"Agreed, not sure what it picked up here",,,,,,,1.0,,False,,,False,False,,True,0.66,True,yes,0.8,0.6,1667,50,7.0014e-05,260.1414590026252,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-OHCu5LBZNMelnWPPHdDF,,1d16b25dcca8,2026-09-19T18:39:37+00:00
30,SCOPUS_ID:0041509097,10.1093/aje/kwg150,Searching for disease-susceptibility loci by testing for Hardy-Weinberg disequilibrium in a gene bank of affected individuals,American Journal of Epidemiology,2003.0,"['Disease susceptibility', 'Epidemiologic methods', 'Gene library', 'Genetics', 'Genome', 'Hardy-Weinberg equilibrium', 'Monte Carlo method', 'Polymorphism, single nucleotide']",Taiwan,101.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1585,50,6.657e-05,411.33016598178074,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-UJPi7Ya0x6v31JApVVHs,,1d16b25dcca8,2026-09-19T18:39:38+00:00
31,SCOPUS_ID:34247537778,10.1093/ije/dyl267,Are socially disadvantaged neighbourhoods deprived of health-related community resources?,International Journal of Epidemiology,2007.0,"['Community resources', 'Context', 'Health inequality', 'Neighbourhoods', 'New Zealand']",New Zealand,190.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.09,False,no,0.01,0.98,1703,50,7.1526e-05,314.68958299956284,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-ejJjhhc3f3DwFU5WZWcI,,1d16b25dcca8,2026-09-19T18:39:37+00:00
32,SCOPUS_ID:33750628586,10.1136/jech.2005.043182,Validity of age at menarche self-reported in adulthood,Journal of Epidemiology & Community Health,2006.0,[],United Kingdom,163.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.12,False,no,0.06,0.89,1640,50,6.888e-05,296.32512500393204,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-rh4t4DPgKWoJ4z5eZEBp,,1d16b25dcca8,2026-09-19T18:39:38+00:00
33,SCOPUS_ID:0344117621,10.1093/eurpub/9.3.181,Physician recommendations for coronary revascularization: Variations by clinical speciality,European Journal of Public Health,1999.0,"['Appropriateness', 'Coronary artery bypass graft surgery', 'Percutaneous transluminal coronary angioplasty']",United States,16.0,0.0,1.0,hard to call,0.0,not sure here as it is a practical implication rather than a policy implication. It is hard with the diversity of papers we have. Maybe discuss with our co-authors. ,,,,,,1.0,1.0,change in policy re: future panel composition on the basis of a single study,True,agree with change in policy recommended,,True,True,,True,0.67,True,yes,0.85,0.7,1785,50,7.497e-05,285.56766698602587,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-UPLJ4NQpfrj6H7c6GpQI,,1d16b25dcca8,2026-09-19T18:39:38+00:00
34,SCOPUS_ID:0034541277,10.1093/aje/152.11.1072,Validation of three food frequency questionnaires and 24-hour recalls with serum carotenoid levels in a sample of African-American adults,American Journal of Epidemiology,2000.0,"['Antioxidants', 'Biological markers', 'Carotenoids', 'Diet surveys', 'Fruits', 'Questionnaires', 'Recall', 'Vegetables']",United States,196.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.19,False,no,0.11,0.78,1725,50,7.245e-05,1050.8255409949925,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-qHggMJJXxjg2N2ftF8ZR,,1d16b25dcca8,2026-09-19T18:39:38+00:00
35,SCOPUS_ID:84885841557,10.1016/j.ypmed.2013.07.007,Who uses new walking and cycling infrastructure and how? Longitudinal results from the UK iConnect study,Preventive Medicine,2013.0,"['Built environment', 'Cycling', 'Infrastructure', 'Walking']",Australia,89.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.19,False,no,0.07,0.86,1680,50,7.056e-05,251.48016700404696,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-WCTQNiFOZnOgqZ1ZrP24,,1d16b25dcca8,2026-09-19T18:39:37+00:00
36,SCOPUS_ID:32344440035,10.1016/j.amepre.2005.11.001,Cigarette promotional offers: Who takes advantage?,American Journal of Preventive Medicine,2006.0,[],United States,47.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.06,False,no,0.0,1.0,1697,50,7.1274e-05,328.5865830257535,1,typesafe/jev-1.13-20260917,gen-dec-1789843177-etPD5vEjLTzha1ytClkO,,1d16b25dcca8,2026-09-19T18:39:38+00:00
37,SCOPUS_ID:77952942744,10.1093/aje/kwq045,Body fatness at young ages and risk of breast cancer throughout life,American Journal of Epidemiology,2010.0,"['Adiposity', 'Adolescent', 'Breast neoplasms', 'Child', 'Obesity']",United States,187.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1767,50,7.4214e-05,307.76816699653864,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-tLlOe8z0DUvtTTSJWOTp,,1d16b25dcca8,2026-09-19T18:39:38+00:00
38,SCOPUS_ID:84929335072,10.2105/AJPH.2015.302628,"Polling places, pharmacies, and public health: Vote &amp; Vax 2012",American Journal of Public Health,2015.0,[],United States,3.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.06,False,no,0.0,0.99,1529,50,6.4218e-05,245.09104099706747,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-LuWKahXtKxcD53PAnNeK,,1d16b25dcca8,2026-09-19T18:39:38+00:00
39,SCOPUS_ID:85133980653,10.1093/aje/kwac025,Sampling Validation Data to Achieve a Planned Precision of the Bias-Adjusted Estimate of Effect,American Journal of Epidemiology,2022.0,"['epidemiologic methods', 'quantitative bias analysis', 'study design', 'validation substudies']",United States,1.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1577,50,6.6234e-05,383.7855000165291,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-4UMmQjxolDEt8CiHq0uJ,,1d16b25dcca8,2026-09-19T18:39:38+00:00
40,SCOPUS_ID:0028170572,10.2105/AJPH.84.9.1439,Black-White differences in serum cotinine levels among pregnant women and subsequent effects on infant birthweight,American Journal of Public Health,1994.0,[],United States,95.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.04,False,no,0.0,1.0,1610,50,6.762e-05,267.3404999950435,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-hzICU2dMXDB3A5jyIn7w,,1d16b25dcca8,2026-09-19T18:39:38+00:00
41,SCOPUS_ID:79952050640,10.1093/ije/dyq164,Prospective cohort study of breast implants and the risk of connective-tissue diseases,International Journal of Epidemiology,2011.0,"['Breast implants', 'Cohort studies', 'Connective-tissue diseases', ""Women's health""]",United States,20.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1809,50,7.5978e-05,242.47024999931455,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-RpCQf2C04mjOMT0btIis,,1d16b25dcca8,2026-09-19T18:39:38+00:00
42,SCOPUS_ID:0041803240,10.1023/A:1024686625528,Birth weight and risk of angina pectoris: Analysis in Swedish twins,European Journal of Epidemiology,2003.0,"['Angina pectoris', 'Birth weight', 'Coronary heart disease', 'Twin study']",Sweden,17.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1762,50,7.4004e-05,321.4954170107376,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-xhnyU9CXid4dyviqYBKC,,1d16b25dcca8,2026-09-19T18:39:38+00:00
43,SCOPUS_ID:0030889263,,"The Dutch EPIC Food Frequency Questionnaire. I. Description of the questionnaire, and relative validity and reproducibility for food groups",International Journal of Epidemiology,1997.0,"['EPIC', 'Food frequency questionnaire', 'Food groups', 'Food photographs', 'Relative validity', 'Reproducibility']",Netherlands,362.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1701,50,7.1442e-05,302.0684579969384,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-F6VuuIve176n0mPrzVfb,,1d16b25dcca8,2026-09-19T18:39:38+00:00
44,SCOPUS_ID:85022341794,10.1016/j.ypmed.2017.07.005,"Is the link between movement and mental health a two-way street? Prospective associations between physical activity, sedentary behaviour and depressive symptoms among women living in socioeconomically disadvantaged neighbourhoods",Preventive Medicine,2017.0,"['Exercise, sedentary lifestyle', 'Mental health', 'Sitting', 'Vulnerable populations', 'Women']",Australia,27.0,0.0,0.0,,0.0,,,,,,,,0.0,,False,,,False,False,,True,0.03,False,no,0.0,1.0,1834,50,7.7028e-05,277.1010000142269,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-JvjmK92mrJY1RG9KNmcb,,1d16b25dcca8,2026-09-19T18:39:38+00:00
45,SCOPUS_ID:0029949732,10.1006/pmed.1996.0058,Exposure to environmental tobacco smoke - Perceptions of African American children and adolescents,Preventive Medicine,1996.0,"['attitudes', 'environmental tobacco smoke', 'knowledge', 'preventive efforts']",United States,20.0,0.0,1.0,clear,1.0,"Agreed, clear policy recommendation, with use of 'should'",,,,,,,1.0,,True,,,True,True,,True,0.93,True,yes,1.0,0.99,1680,50,7.056e-05,243.86712498380803,1,typesafe/jev-1.13-20260917,gen-dec-1789843178-j3VrEtFdQxR9LbGiNjSn,,1d16b25dcca8,2026-09-19T18:39:38+00:00
