source_row,review_id,source_row_index,scopus_id,doi,title,journal,publication_year,design_title,design_abstract,design_strict,design_keywords,design_combined,design_combined_unambiguous,is_methodological,is_excluded_sensitivity,is_policy_analysis_eval,is_methods_qe,llm_policy_claim,keywords,manual_check1,manual_check2,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
12,DES-013,3601,SCOPUS_ID:26444566662,10.1093/aje/kwi262,Association of Chlamydia trachomatis with persistence of high-risk types of human papillomavirus in a cohort of female adolescents,American Journal Of Epidemiology,2005,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,False,"Adolescent; Chlamydia trachomatis; Longitudinal studies; Neisseria gonorrhoeae; Papillomavirus, human; Sexually transmitted diseases; Trichomonas vaginalis; Vaginosis, bacterial",,,True,0.03,False,no,0.0,1.0,1710,50,7.182e-05,311.47962500108406,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-KeFI9JWgFBNKrhbgR08d,,1d16b25dcca8,2026-09-19T18:34:36+00:00
13,DES-014,38733,SCOPUS_ID:85127816411,10.1136/jech-2021-217266,Time trend analysis of social inequalities in psychological distress among young adults before and during the pandemic: evidence from the UK Household Longitudinal Study COVID-19 waves,Journal Of Epidemiology And Community Health,2022,Cohort,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,True,,,,True,0.96,True,yes,1.0,1.0,1770,50,7.434e-05,348.28958299476653,1,typesafe/jev-1.13-20260917,gen-dec-1789842875-Wh3EX0UbAGhajFCE165G,,1d16b25dcca8,2026-09-19T18:34:36+00:00
14,DES-015,42562,SCOPUS_ID:84887824395,10.1016/j.ypmed.2013.10.006,American adults eligible for the supplemental nutritional assistance program consume more sugary beverages than ineligible adults,Preventive Medicine,2013,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,False,Adults; SNAP; Sugar-sweetened bevearge consumption,,,True,0.05,False,no,0.0,1.0,1721,50,7.2282e-05,377.2240830003284,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-C5QVW1qPgwwcoKYPK9W1,,1d16b25dcca8,2026-09-19T18:34:36+00:00
15,DES-016,2828,SCOPUS_ID:0035863438,10.1093/aje/153.2.114,Excess incidence of squamous cell esophageal cancer among US black men: Role of social class and other risk factors,American Journal Of Epidemiology,2001,Other/None,Case-control,Case-control,Case-control,Case-control,Case-control,False,False,False,False,True,Alcohol drinking; Case-control studies; Diet; Esophageal neoplasms; Racial stocks; Risk factors; Social class; Tobacco,,,True,0.73,True,yes,0.84,0.68,1735,50,7.287e-05,286.4836670050863,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-JgvOvXfe7O1hsON214MU,,1d16b25dcca8,2026-09-19T18:34:36+00:00
16,DES-017,11916,SCOPUS_ID:85059576723,10.1016/j.amepre.2018.08.024,"Bringing “The Real Cost” to Life Through Breakthrough, Evidence-Based Advertising",American Journal Of Preventive Medicine,2019,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,False,False,False,False,,,,True,0.03,False,no,0.0,1.0,1591,50,6.6822e-05,328.67462499416433,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-V75ROV4AsQ5tOfuxCmTb,,1d16b25dcca8,2026-09-19T18:34:36+00:00
17,DES-018,19133,SCOPUS_ID:84896499895,10.2105/ajph.2013.301837,Effectiveness of the cigarette ignition propensity standard in preventing unintentional residential fires in Massachusetts,American Journal Of Public Health,2014,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Other/None,False,True,False,True,True,,,,True,0.97,True,yes,1.0,1.0,1625,50,6.825e-05,273.5242909984663,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-mk3NolJPVaut2jS8FHjZ,,1d16b25dcca8,2026-09-19T18:34:36+00:00
18,DES-019,11751,SCOPUS_ID:85073516094,10.1016/j.amepre.2019.06.019,Sugar-Sweetened Beverage Health Warnings and Purchases: A Randomized Controlled Trial,American Journal Of Preventive Medicine,2019,Experimental,Other/None,Experimental,Other/None,Experimental,Experimental,False,False,False,False,True,,,,True,0.82,True,yes,0.91,0.82,1909,50,8.0178e-05,277.68995802034624,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-WsajehQCCVV50F5vvWKQ,,1d16b25dcca8,2026-09-19T18:34:36+00:00
19,DES-020,18448,SCOPUS_ID:84886412652,10.2105/ajph.2013.301283,Medicaid expansion initiative in Massachusetts: Enrollment among substance-abusing homeless adults,American Journal Of Public Health,2013,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Other/None,False,True,False,True,True,,,,True,0.94,True,yes,1.0,0.99,1608,50,6.7536e-05,271.2596250057686,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-bqq7bOmQ6XPe3VCZI6eV,,1d16b25dcca8,2026-09-19T18:34:36+00:00
20,DES-021,23978,SCOPUS_ID:85196885941,10.1097/ede.0000000000001740,Scarring in Utero: An Attempt to Validate with Data Unconfounded by Migration and Medical Care,Epidemiology,2024,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,False,Environmental stressors; Gestation; Longevity; Scarring,,,True,0.04,False,no,0.0,1.0,1684,50,7.0728e-05,322.11174999247305,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-iNaSCvqJYY7di8KcIDYB,,1d16b25dcca8,2026-09-19T18:34:36+00:00
21,DES-022,3381,SCOPUS_ID:4544377996,10.1093/aje/kwh260,Intussusception and oral poliovirus vaccination: Is there an association?,American Journal Of Epidemiology,2004,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,False,False,False,False,False,"Intussusception; Poliovirus vaccine, oral",,,True,0.04,False,no,0.0,1.0,1695,50,7.119e-05,263.49279200076126,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-1ydBQCVQYHMk4BkF4NXY,,1d16b25dcca8,2026-09-19T18:34:36+00:00
22,DES-023,9518,SCOPUS_ID:42949162520,10.1016/j.amepre.2008.03.005,"Did Augmenting the VERB<sup>™</sup> Campaign Advertising in Select Communities Have an Effect on Awareness, Attitudes, and Physical Activity?",American Journal Of Preventive Medicine,2008,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,False,True,False,True,False,,,,True,0.42,False,no,0.37,0.27,1733,50,7.2786e-05,280.3684999817051,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-iSR84256qlD2oPmQXgvO,,1d16b25dcca8,2026-09-19T18:34:36+00:00
23,DES-024,28826,SCOPUS_ID:85059268535,10.1093/eurpub/cky100,"The association between discrimination and health: Findings on Russian, Somali and Kurdish origin populations in Finland",European Journal Of Public Health,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,False,False,False,True,,,,True,0.96,True,yes,1.0,1.0,1684,50,7.0728e-05,375.2980000281241,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-1ywxvyviCuI9RsseCCTd,,1d16b25dcca8,2026-09-19T18:34:36+00:00
24,DES-025,31698,SCOPUS_ID:0033855597,10.1093/ije/29.4.629,"High-risk mammographic parenchymal patterns, hormone replacement therapy and other risk factors: A case-control study",International Journal Of Epidemiology,2000,Case-control,Case-control,Case-control,Other/None,Case-control,Case-control,False,False,False,False,True,Breast parenchymal patterns; Hormone replacement therapy; Mammography; Menopausal status,,,True,0.72,True,yes,0.87,0.74,1706,50,7.1652e-05,350.21341597894207,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-u3oDYJj2fDc0Ix0SAs3d,,1d16b25dcca8,2026-09-19T18:34:36+00:00
25,DES-026,44871,SCOPUS_ID:85103981569,10.1016/j.ypmed.2021.106546,Gains in insurance coverage following the affordable care act and change in preventive services use among non-elderly US immigrants,Preventive Medicine,2021,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,False,True,False,True,False,,,,True,0.08,False,no,0.0,0.99,1713,50,7.1946e-05,246.09900001087226,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-GwMPfS4oc1XVZPz05TBR,,1d16b25dcca8,2026-09-19T18:34:36+00:00
26,DES-027,29463,SCOPUS_ID:85102213306,10.1093/eurpub/ckaa153,Hospital practices for the implementation of patient partnership in a multi-national European region,European Journal Of Public Health,2021,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,False,,,,True,0.06,False,no,0.0,1.0,1629,50,6.8418e-05,315.64858299680054,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-DFoVKDa4APVwzodCVZRm,,1d16b25dcca8,2026-09-19T18:34:36+00:00
27,DES-028,31772,SCOPUS_ID:0035171270,10.1093/ije/30.5.1156,Comparing like with like: Some historical milestones in the evolution of methods to create unbiased comparison groups in therapeutic experiments,International Journal Of Epidemiology,2001,Other/None,Experimental,Experimental,Other/None,Experimental,Experimental,False,False,False,False,False,,,,True,0.04,False,no,0.0,1.0,1646,50,6.9132e-05,317.5769160152413,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-MhAEQiP1gMwQVCYjSi6p,,1d16b25dcca8,2026-09-19T18:34:37+00:00
28,DES-029,6799,SCOPUS_ID:85049005667,10.1093/aje/kwx353,Early Onset of Distress Disorders and High-School Dropout: Prospective Evidence from a National Cohort of Australian Adolescents,American Journal Of Epidemiology,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,False,False,False,True,adolescence; education; high-school incompletion; longitudinal; mental health,,,True,0.81,True,yes,0.95,0.9,1665,50,6.993e-05,301.7480419948697,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-gO0va9yqIkvjoOVUSwxX,,1d16b25dcca8,2026-09-19T18:34:37+00:00
29,DES-030,12224,SCOPUS_ID:85108980788,10.1016/j.amepre.2021.04.022,Helpline Calls Associated With Preventable Emergency Department Utilization,American Journal Of Preventive Medicine,2021,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,True,,,,True,0.9,True,yes,0.99,0.98,1682,50,7.0644e-05,378.49012500373647,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-3KomASqX8WA4GJ6rdE4h,,1d16b25dcca8,2026-09-19T18:34:37+00:00
30,DES-031,40324,SCOPUS_ID:0032703868,10.1006/pmed.1998.0570,Using mass media to promote healthy eating: A community-based demonstration project,Preventive Medicine,1999,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,False,True,False,True,False,Advertising; Diet; Food habits; Health behavior; Health education; Mass media; Milk; Nutrition; Primary prevention; Public relations,,,True,0.09,False,no,0.01,0.98,1628,50,6.8376e-05,308.9049160189461,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-exuIbfshncGmWE9YuFve,,1d16b25dcca8,2026-09-19T18:34:37+00:00
31,DES-032,6413,SCOPUS_ID:84959929928,10.1093/aje/kwv205,Associations of Inter- and Intraday Temperature Change with Mortality,American Journal Of Epidemiology,2016,Other/None,Ecological / Time-series,Ecological / Time-series,Other/None,Ecological / Time-series,Ecological / Time-series,False,False,False,False,False,ambient temperature; diurnal temperature range; mortality; temperature variation,,,True,0.03,False,no,0.0,1.0,1760,50,7.392e-05,336.668792006094,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-i3N3I0LWYVpXGwxAQSqL,,1d16b25dcca8,2026-09-19T18:34:37+00:00
32,DES-033,41425,SCOPUS_ID:14644395473,10.1016/j.ypmed.2004.07.018,Job stress and cardiovascular risk factors in male workers,Preventive Medicine,2005,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,False,False,False,False,False,Blood pressure; Cardiovascular risk factors; Cholesterol; Decision latitude; Homocystein; Job strain; Job stress; Smoking; Work demand,,,True,0.05,False,no,0.0,1.0,1645,50,6.909e-05,330.43362500029616,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-nDpy87GoZpOdCjPlYAuE,,1d16b25dcca8,2026-09-19T18:34:37+00:00
33,DES-034,4167,SCOPUS_ID:34447282814,10.1093/aje/kwm013,Anthropometrics and prostate cancer risk,American Journal Of Epidemiology,2007,Other/None,Cohort,Cohort,Cohort,Cohort,Cohort,False,False,False,False,False,Body height; Body mass index; Body weight; Body weight changes; Cohort studies; Longitudinal studies; Prostatic neoplasms,,,True,0.04,False,no,0.0,1.0,1782,50,7.4844e-05,337.17312500812113,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-bnk6mS99bfFDhe94W0ny,,1d16b25dcca8,2026-09-19T18:34:37+00:00
34,DES-035,19655,SCOPUS_ID:84990228591,10.2105/ajph.2016.303371,Replicating cuídate: 6-month impact findings of a randomized controlled trial,American Journal Of Public Health,2016,Experimental,Experimental,Experimental,Other/None,Experimental,Experimental,False,False,False,False,False,,,,True,0.05,False,no,0.0,1.0,1670,50,7.014e-05,245.86599998292513,1,typesafe/jev-1.13-20260917,gen-dec-1789842876-qlKUoNQekegKpm3QW3hU,,1d16b25dcca8,2026-09-19T18:34:37+00:00
35,DES-036,8587,SCOPUS_ID:0033777398,10.1016/s0749-3797(00)00227-0,Severe dating violence and quality of life among South Carolina high school students,American Journal Of Preventive Medicine,2000,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,True,,,,True,0.95,True,yes,1.0,1.0,1761,50,7.3962e-05,387.8562079917174,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-VD7WzMev5k2jRcnNW0cW,,1d16b25dcca8,2026-09-19T18:34:37+00:00
36,DES-037,37745,SCOPUS_ID:84934766877,10.1136/jech-2014-204971,Are fluoride levels in drinking water associated with hypothyroidism prevalence in england? A large observational study of GP practice data and fluoride levels in drinking water,Journal Of Epidemiology And Community Health,2015,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,True,,,,True,0.83,True,yes,0.93,0.87,1672,50,7.0224e-05,265.14533400768414,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-w7Gzna7Lggai7PCep48m,,1d16b25dcca8,2026-09-19T18:34:37+00:00
37,DES-038,15637,SCOPUS_ID:0033922364,10.2105/ajph.90.7.1049,The social geography of AIDS and hepatitis risk: Qualitative approaches for assessing local differences in sterile-syringe access among injection drug users,American Journal Of Public Health,2000,Qualitative,Other/None,Qualitative,Other/None,Qualitative,Qualitative,False,False,False,False,False,,,,True,0.04,False,no,0.0,1.0,1582,50,6.6444e-05,261.06116600567475,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-HDDImYbhNDL7IC8KKT4o,,1d16b25dcca8,2026-09-19T18:34:37+00:00
38,DES-039,31431,SCOPUS_ID:0032723302,10.1093/ije/28.5.982,American cutaneous leishmaniasis in Southeast Brazil: Space-time clustering,International Journal Of Epidemiology,1999,Other/None,Ecological / Time-series,Ecological / Time-series,Other/None,Ecological / Time-series,Ecological / Time-series,False,False,False,False,False,American cutaneous leishmaniasis; Cluster analysis; Geography; Herd immunity; Temporal series; Temporal-space patterns,,,True,0.05,False,no,0.0,1.0,1727,50,7.2534e-05,285.47174998675473,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-GUnxCjU26LQxQeQ6AhFj,,1d16b25dcca8,2026-09-19T18:34:37+00:00
39,DES-040,45670,SCOPUS_ID:85196510896,10.1016/j.ypmed.2024.108041,Serious psychological distress and higher associations with tobacco and cannabis use among college students in the United States,Preventive Medicine,2024,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,True,Cannabis; Cigarettes; College students; E-cigarettes; Serious psychological distress; Tobacco,,,True,0.96,True,yes,1.0,1.0,1707,50,7.1694e-05,266.4795000164304,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-3EXn7Y9QUnWB9VfQWzLw,,1d16b25dcca8,2026-09-19T18:34:37+00:00
40,DES-041,38082,SCOPUS_ID:85032588206,10.1136/jech-2017-208899,Mental health impacts of flooding: A controlled interrupted time series analysis of prescribing data in England,Journal Of Epidemiology And Community Health,2017,Quasi-experimental,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Other/None,False,True,False,True,False,,,,True,0.05,False,no,0.0,1.0,1608,50,6.7536e-05,342.597749986453,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-cZidQgNsnDvs24zLg7s7,,1d16b25dcca8,2026-09-19T18:34:37+00:00
41,DES-042,25704,SCOPUS_ID:79151483327,10.1007/s10654-010-9521-x,LifeGene - A large prospective population-based study of global relevance,European Journal Of Epidemiology,2011,Other/None,Cohort,Cohort,Cohort,Cohort,Cohort,False,False,False,False,False,Biobank; Cohort study; Epidemiology; Population genetics; Prospective study; Questionnaires,,,True,0.03,False,no,0.0,1.0,1670,50,7.014e-05,267.80200001667254,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-oSKcWuOvbQgsQ0iuEVLL,,1d16b25dcca8,2026-09-19T18:34:37+00:00
42,DES-043,12592,SCOPUS_ID:85122516860,10.1016/j.amepre.2021.11.004,"Appropriateness of Antibiotic Prophylaxis Before Dental Procedures, 2016–2018",American Journal Of Preventive Medicine,2022,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,False,False,False,False,True,,,,True,0.88,True,yes,0.98,0.97,1717,50,7.2114e-05,263.0714580009226,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-B6gn2TyddG5x642e2m44,,1d16b25dcca8,2026-09-19T18:34:37+00:00
43,DES-044,33810,SCOPUS_ID:85050484953,10.1093/ije/dyx271,NMR metabolomic signatures reveal predictive plasma metabolites associated with long-term risk of developing breast cancer,International Journal Of Epidemiology,2018,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,False,False,False,False,False,Breast neoplasm; Metabolomics; Nuclear magnetic resonance; Plasma; Prospective study,,,True,0.28,False,no,0.19,0.62,1791,50,7.5222e-05,298.8770410011057,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-h6kuZmy0X9jyGXuVCUtN,,1d16b25dcca8,2026-09-19T18:34:37+00:00
44,DES-045,32036,SCOPUS_ID:0038187649,10.1093/ije/dyg056,"Mortality among pilots and cabin crew in Greece, 1990-1997",International Journal Of Epidemiology,2003,Other/None,Cohort,Cohort,Cohort,Cohort,Cohort,False,False,False,False,False,Airline pilots; Cabin crew; Cohort study; Cosmic radiation; Follow-up study; Mortality; Standardized mortality ratio,,,True,0.03,False,no,0.0,1.0,1779,50,7.4718e-05,337.92758398340084,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-oV6Py1YtmP3HvBHl14Wo,,1d16b25dcca8,2026-09-19T18:34:37+00:00
45,DES-046,12120,SCOPUS_ID:85079077460,10.1016/j.amepre.2019.09.024,Health for Hearts United Longitudinal Trial: Improving Dietary Behaviors in Older African Americans,American Journal Of Preventive Medicine,2020,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,False,True,False,True,False,,,,True,0.07,False,no,0.0,0.99,1883,50,7.9086e-05,303.2799999928102,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-4zP3n6d1HYpJMgNVvSGL,,1d16b25dcca8,2026-09-19T18:34:37+00:00
46,DES-047,41584,SCOPUS_ID:36549007719,10.1016/j.ypmed.2007.07.025,R-rated film viewing and adolescent smoking,Preventive Medicine,2007,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,False,False,False,False,False,Adolescent; Intention; Motion pictures; Smoking,,,True,0.03,False,no,0.0,1.0,1683,50,7.0686e-05,321.62120900466107,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-5xntJt7CkGFC90eBqUOF,,1d16b25dcca8,2026-09-19T18:34:37+00:00
47,DES-048,31882,SCOPUS_ID:0034763698,10.1093/ije/30.suppl_1.s59,Differences in cardiovascular disease mortality and major risk factors between districts in Oslo. An ecological analysis,International Journal Of Epidemiology,2001,Ecological / Time-series,Other/None,Ecological / Time-series,Other/None,Ecological / Time-series,Ecological / Time-series,False,False,False,False,False,Blood pressure; Cardiovascular mortality; Coronary heart disease; Lipids; Risk factors; Smoking; Socioeconomic factors,,,True,0.03,False,no,0.0,1.0,1696,50,7.1232e-05,268.7934160057921,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-QipcdE85xeSHrAf6JluX,,1d16b25dcca8,2026-09-19T18:34:37+00:00
48,DES-049,5503,SCOPUS_ID:84861413864,10.1093/aje/kwr467,"Genetic variants on 15q25.1, smoking, and lung cancer: An assessment of mediation and interaction",American Journal Of Epidemiology,2012,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,False,False,False,False,False,gene-environment interaction; lung neoplasms; mediation; pathway analysis; smoking,,,True,0.02,False,no,0.0,1.0,1847,50,7.7574e-05,312.3705420002807,1,typesafe/jev-1.13-20260917,gen-dec-1789842877-ujSfTAwC6QLxMvc7t4cI,,1d16b25dcca8,2026-09-19T18:34:37+00:00
