source_row,review_id,scopus_id,doi,title,journal,keywords,DB_policy_claim,db notes,EC_policy_claim,ec notes,concordance,Unnamed: 12,Unnamed: 13,db_double_checked,Unnamed: 15,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
10,S400-011,SCOPUS_ID:84907339427,10.1016/j.ypmed.2014.07.019,"Multilevel evaluation of 'China Healthy Lifestyles for All', a nationwide initiative to promote lower intakes of salt and edible oil",Preventive Medicine,"['China', 'Edible oil', 'Geographic variations', 'Health literacy', 'Multilevel modelling', 'Preventive health', 'Salt']",True,,True,,,,,,,True,0.76,True,yes,0.9,0.8,1780,50,7.476e-05,284.9500410084147,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-HheuNvrCGynonADcFbs1,,1d16b25dcca8,2026-09-19T18:39:46+00:00
11,S400-012,SCOPUS_ID:85017184849,10.1093/ije/dyw314,Triangulation in aetiological epidemiology,International Journal Of Epidemiology,"['Negative control studies', 'Aetiological epidemiology', 'Causality', 'Instrumental variables', 'Mendelian randomization', 'Natural experiments', 'RCTs', 'Triangulation', 'Within-sibships studies']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1639,50,6.8838e-05,1272.0039160049055,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-bw0Q6PUJJAV5sXyqDQ5g,,1d16b25dcca8,2026-09-19T18:39:47+00:00
12,S400-013,SCOPUS_ID:77958157041,10.1016/j.amepre.2010.07.009,Adoption of policies to treat tobacco dependence in U.S. medical groups,American Journal Of Preventive Medicine,[],True,,True,"the authors do not give specific recommendations though, so on the fence here",,,,,,True,0.65,True,yes,0.74,0.49,1735,50,7.287e-05,287.7512089908123,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-1ItV20U3h1lLwq9cPFTC,,1d16b25dcca8,2026-09-19T18:39:46+00:00
13,S400-014,SCOPUS_ID:34548386735,10.1093/eurpub/ckl245,Trends in vigorous physical activity and TV watching of adolescents from 1986 to 2002 in seven European Countries,European Journal Of Public Health,"['Adolescents', 'Europe', 'Physical activity', 'Trends', 'TV watching']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1694,50,7.1148e-05,294.2078339983709,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-MgZRFBNFiflcyG2GKaKX,,1d16b25dcca8,2026-09-19T18:39:46+00:00
14,S400-015,SCOPUS_ID:0032794564,10.1097/00001648-199909000-00011,Menstrual and reproductive factors for salivary gland cancer risk in women,Epidemiology,"['Menstrual factors', 'Reproductive factors', 'Risk factors', 'Salivary gland cancer', 'Women']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1590,50,6.678e-05,235.06950002047233,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-og85AhSfWDSU70TnWEvD,,1d16b25dcca8,2026-09-19T18:39:46+00:00
15,S400-016,SCOPUS_ID:85061033867,10.1097/EDE.0000000000000945,Comparison of Methods for Algorithmic Classification of Dementia Status in the Health and Retirement Study,Epidemiology,"['Algorithms', ""Alzheimer's disease"", 'Dementia', 'Health and Retirement Study']",False,,False,,,,,,,True,0.15,False,no,0.06,0.89,1804,50,7.5768e-05,264.85383399995044,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-TPa0nKvuf69FNJyxOV6d,,1d16b25dcca8,2026-09-19T18:39:47+00:00
16,S400-017,SCOPUS_ID:0025975542,10.2105/AJPH.81.1.101,The status of restrictive smoking policies: A survey of medical schools in the United States and Canada,American Journal Of Public Health,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1494,50,6.2748e-05,884.7430419991724,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-9uP8mbq2RLCsyjF2zE1w,,1d16b25dcca8,2026-09-19T18:39:47+00:00
17,S400-018,SCOPUS_ID:85138127378,10.1016/j.ypmed.2022.107223,Rural and urban disparities in potentially preventable hospitalizations among US patients with Alzheimer's Disease and Related Dementias: Evidence of hospital-based telehealth and enabling services,Preventive Medicine,"[""Alzheimer's disease and related dementias"", 'Enabling services', 'Preventable hospitalizations', 'Telehealth']",True,,True,,,,,,,True,0.72,True,yes,0.86,0.72,1827,50,7.6734e-05,242.22904202179052,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-m5dUQbhFJ1jpLbwHXKbh,,1d16b25dcca8,2026-09-19T18:39:47+00:00
18,S400-019,SCOPUS_ID:85026467281,10.1093/eurpub/ckx042,Whether people believe that overweight is unhealthy depends on their BMI,European Journal Of Public Health,[],False,,False,,,,,,,True,0.08,False,no,0.01,0.98,1442,50,6.0564e-05,250.83266699220985,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-3IALZe8DEzR3f7VqNqFM,,1d16b25dcca8,2026-09-19T18:39:47+00:00
19,S400-020,SCOPUS_ID:0034049918,10.1006/pmed.2000.0665,Total Quality Leadership in the U.S. Navy: Effective for health promotion activities?,Preventive Medicine,"['Disease prevention', 'Health survey', 'Military', 'Navy', 'Total Quality Leadership', 'Worksite health promotion']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1642,50,6.8964e-05,253.98458298877813,1,typesafe/jev-1.13-20260917,gen-dec-1789843186-OUWgtIp6bfKZajxTHC2V,,1d16b25dcca8,2026-09-19T18:39:47+00:00
20,S400-021,SCOPUS_ID:77952306138,10.1093/ije/dyp229,"Resting heart rate and blood pressure, independent of each other, proportionally raise the risk for type-2 diabetes mellitus",International Journal Of Epidemiology,"['Blood pressure', 'Diabetes', 'Follow-up study', 'Heart rate', 'Risk factors']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1789,50,7.5138e-05,305.6775830045808,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-pSnzQTpinp1iQqLJ9lAk,,1d16b25dcca8,2026-09-19T18:39:47+00:00
21,S400-022,SCOPUS_ID:0031863645,10.1023/A:1007427925583,Prevalence of bovine verotoxin-producing Escherichia coli in Argentina,European Journal Of Epidemiology,"['Cattle', 'Escherichia coli', 'Intimin', 'Shiga-like toxins', 'Verotoxins']",False,,False,"not a human study, surprised it's even included",,,,,,True,0.04,False,no,0.0,1.0,1750,50,7.35e-05,305.8334579982329,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-skxJdvC2oJOYiGVYg2uz,,1d16b25dcca8,2026-09-19T18:39:47+00:00
22,S400-023,SCOPUS_ID:0006096230,10.1093/eurpub/3.4.290,A case-control assessment of risk factors for Haemophilus influenzae type b meningitis,European Journal Of Public Health,"['Children', 'Haemophilis influenzae type b', 'Meningitis', 'Risk factors']",True,,True,,,,,,,True,0.77,True,yes,0.89,0.78,1505,50,6.321e-05,273.42558398959227,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-ZyceeSecvwKRXcxWPpP1,,1d16b25dcca8,2026-09-19T18:39:47+00:00
23,S400-024,SCOPUS_ID:85184817755,10.1016/j.ypmed.2024.107892,"Identifying overlaps and disconnects between media reports and official records of nonfatal firearm injuries in Indianapolis, Indiana, 2021–2022",Preventive Medicine,"['Communities', 'Data linkage', 'Firearm injuries', 'Media', 'Structural disadvantage']",True,,True,,,,,,,True,0.97,True,yes,1.0,1.0,1699,50,7.1358e-05,274.9484579835553,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-0rbD9fZH40pIPZLEe3Ql,,1d16b25dcca8,2026-09-19T18:39:47+00:00
24,S400-025,SCOPUS_ID:84866321529,10.2105/AJPH.2012.300934,Effects of home visiting on adolescent mothers' parenting attitudes,American Journal Of Public Health,[],False,didn't extract full abstract,False,https://ajph.aphapublications.org/doi/full/10.2105/AJPH.2012.300934,,,,,,True,0.03,False,no,0.0,1.0,1462,50,6.1404e-05,1231.9800410186872,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-QjwLIil5rfWXi19D6zus,,1d16b25dcca8,2026-09-19T18:39:48+00:00
25,S400-026,SCOPUS_ID:33645464863,10.1093/eurpub/cki199,Breastfeeding duration is determined by only a few factors,European Journal Of Public Health,"['Breastfeeding', 'Influencing factors', 'Outcome prognosis', 'Resource allocation']",True,,True,although they do say that their findings need to be confrimed,,,,,,True,0.85,True,yes,0.98,0.96,1706,50,7.1652e-05,281.83416699175723,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-1mvM21H4aQd1NPDLMhbR,,1d16b25dcca8,2026-09-19T18:39:47+00:00
26,S400-027,SCOPUS_ID:20544447667,10.1093/aje/kwi141,"Large-scale comparative analysis of pertussis population dynamics: Periodicity, synchrony, and impact of vaccination",American Journal Of Epidemiology,"['Comparative analysis', 'Periodicity', 'Population surveillance', 'Vaccination', 'Wavelet methods', 'Whooping cough']",True,,False,"to me, they suggest further research rather than a policy implication?",!!!,,,False,,True,0.11,False,no,0.01,0.98,1562,50,6.5604e-05,311.79533299291506,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-JG1R4BSUxccMzI3iFZc7,,1d16b25dcca8,2026-09-19T18:39:47+00:00
27,S400-028,SCOPUS_ID:0035148770,10.1136/jech.55.2.80,An explanation of the persistent doctor-mortality association,Journal Of Epidemiology And Community Health,[],False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1632,50,6.8544e-05,928.5202920145821,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-391hH9gyZf48Jz7KrGW3,,1d16b25dcca8,2026-09-19T18:39:48+00:00
28,S400-029,SCOPUS_ID:0034535398,10.1023/A:1026793615987,Childhood cancer survival in Cuba,European Journal Of Epidemiology,"['Cancer Registry', 'Childhood cancer', 'Survival']",False,,False,,,,,,,True,0.17,False,no,0.04,0.92,1750,50,7.35e-05,252.76379098067991,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-veoWK26q8OjpDAF6TG5G,,1d16b25dcca8,2026-09-19T18:39:47+00:00
29,S400-030,SCOPUS_ID:57149102085,10.2105/AJPH.2008.137018,Anabolic-androgenic steroid use and involvement in violent behavior in a nationally representative sample of young adult males in the United States,American Journal Of Public Health,[],False,,False,,,,,,,True,0.02,False,no,0.0,1.0,1472,50,6.1824e-05,338.383291993523,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-ARYeod4ERvY7UaByv2IJ,,1d16b25dcca8,2026-09-19T18:39:47+00:00
30,S400-031,SCOPUS_ID:0029557074,10.1136/jech.49.6.575,Seasonal variation in coronary heart disease in Scotland,Journal Of Epidemiology And Community Health,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1823,50,7.6566e-05,358.989833999658,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-AHzr2fiULKyjiBUpQGMo,,1d16b25dcca8,2026-09-19T18:39:47+00:00
31,S400-032,SCOPUS_ID:0036876412,10.1016/S0749-3797(02)00513-5,"Seatbelt use, attitudes, and changes in legislation - An international study",American Journal Of Preventive Medicine,"['Attitude', 'Motor vehicles', 'Public health', 'Seat belts', 'Students', 'Wounds and injuries']",True,,True,,,,,,,True,0.62,True,yes,0.69,0.38,1722,50,7.2324e-05,290.76408297987655,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-1ZDBChhwPG9lw2jmZJSb,,1d16b25dcca8,2026-09-19T18:39:47+00:00
32,S400-033,SCOPUS_ID:74549114742,10.1097/EDE.0b013e3181b5f3b0,Mental vulnerability and survival after cancer,Epidemiology,[],False,,False,,,,,,,True,0.02,False,no,0.0,1.0,1602,50,6.7284e-05,315.5649580003228,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-GXWaVxLOIeJUwYVn3BUx,,1d16b25dcca8,2026-09-19T18:39:47+00:00
33,S400-034,SCOPUS_ID:84960395680,10.1093/aje/kwv299,"The potential trajectory of carbapenem-resistant enterobacteriaceae, an emerging threat to health-care facilities, and the impact of the centers for disease control and prevention toolkit",American Journal Of Epidemiology,"['carbapenem-resistant Enterobacteriaceae', 'control measures', 'coordinated responses', 'regional spread', 'surveillance']",True,,True,,,,,,,True,0.33,False,no,0.19,0.63,1667,50,7.0014e-05,252.1372499759309,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-71HnxhbGDThM1hwFxR22,,1d16b25dcca8,2026-09-19T18:39:47+00:00
34,S400-035,SCOPUS_ID:0036230530,10.1097/00001648-200205000-00020,The urban spread of visceral leishmaniasis: Clues from spatial analysis,Epidemiology,"['Brazil', 'Clustering', 'Geographic information systems', 'Infectious disease', 'Smoothing', 'Spatial analysis', 'Visceral leishmaniasis']",False,,False,,,,,,,True,0.82,True,yes,0.96,0.92,1502,50,6.3084e-05,347.30550000676885,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-FZVvkBblZTNotWBvsLs3,,1d16b25dcca8,2026-09-19T18:39:48+00:00
35,S400-036,SCOPUS_ID:35648998938,10.1093/eurpub/ckl262,Diet and exercise intervention in a general population - Mediators of participation and adherence: The Inter99 study,European Journal Of Public Health,"['Community participation', 'Diet', 'Exercise', 'Intervention study', 'Mediators']",True,,False,They seem to ask for more research?,!!!,,,False,,True,0.17,False,no,0.05,0.9,1700,50,7.14e-05,266.55629198648967,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-y7jPW4PNZnbbsrwAclx8,,1d16b25dcca8,2026-09-19T18:39:48+00:00
36,S400-037,SCOPUS_ID:0033024558,10.1023/A:1007535722726,How do general practitioners approach hepatitis C virus screening in France?,European Journal Of Epidemiology,"['Anti-HCV testing', 'Blood transfusion', 'France', 'General practice', 'Sentinel network']",True,,True,,,,,,,True,0.09,False,no,0.02,0.97,1846,50,7.7532e-05,235.89037501369603,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-OgK1k9saw67Z1T9QI5qH,,1d16b25dcca8,2026-09-19T18:39:48+00:00
37,S400-038,SCOPUS_ID:85028983494,10.1007/s10654-017-0298-z,Relationship of very low serum 25-hydroxyvitamin D<inf>3</inf> levels with long-term survival in a large cohort of colorectal cancer patients from Germany,European Journal Of Epidemiology,"['Colorectal cancer', 'Dose–response relationship', 'Survival', 'Vitamin D']",False,,False,borderline,,,,,,True,0.19,False,no,0.08,0.85,1862,50,7.8204e-05,273.25299999210984,1,typesafe/jev-1.13-20260917,gen-dec-1789843187-pG497rhI54eiJJjmsW9H,,1d16b25dcca8,2026-09-19T18:39:48+00:00
38,S400-039,SCOPUS_ID:34548309485,10.1016/j.ypmed.2007.06.014,The effectiveness of brief advice and extended smoking cessation counseling programs when implemented routinely in hospitals,Preventive Medicine,"['Brief intervention', 'Counseling', 'Hospital', 'Implementation', 'In-patient', 'Smoking cessation']",True,,True,,,,,,,True,0.56,True,yes,0.68,0.36,1678,50,7.0476e-05,471.46308299852535,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-hXUTFX82NXTUL7c9AQMh,,1d16b25dcca8,2026-09-19T18:39:48+00:00
39,S400-040,SCOPUS_ID:0034880586,10.1016/S0091-7435(01)80002-5,Factors associated with daily smoking among Israeli adolescents: A prospective cohort study with a 3-year follow-up,Preventive Medicine,"['Adolescents', 'Predictor variables', 'Smoking']",True,,True,,,,,,,True,0.91,True,yes,0.99,0.98,1856,50,7.7952e-05,408.1471250101458,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-h9lyOovVzO55AQHc9MYe,,1d16b25dcca8,2026-09-19T18:39:48+00:00
40,S400-041,SCOPUS_ID:33751575201,10.2105/AJPH.2005.071035,Racial/ethnic disparities in report of physician-provided smoking cessation advice: Analysis of the 2000 National Health Interview Survey,American Journal Of Public Health,[],True,,True,,,,,,,True,0.86,True,yes,0.97,0.95,1665,50,6.993e-05,322.35808300902136,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-mNt8YOfiWFfP1gAheYsr,,1d16b25dcca8,2026-09-19T18:39:48+00:00
41,S400-042,SCOPUS_ID:0035283430,10.1093/aje/153.5.453,"Associations of blood lead, dimercaptosuccinic acid-chelatable lead, and tibia lead with neurobehavioral test scores in South Korean lead workers",American Journal Of Epidemiology,"['Cross-sectional studies', 'Lead', 'Lead poisoning, nervous system, adult', 'Nervous system', 'Neurobehavioral manifestations', 'Neurologic manifestations', 'Occupational exposure', 'Spectrometry, x-ray emission']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1661,50,6.9762e-05,266.87970900093205,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-PuiM1WZpA7G03X6epe68,,1d16b25dcca8,2026-09-19T18:39:48+00:00
42,S400-043,SCOPUS_ID:0033047729,10.1093/ije/28.1.113,Capture-recapture method for estimating misclassification errors: Application to the measurement of vaccine efficacy in randomized controlled trials,International Journal Of Epidemiology,"['Capture-recapture', 'Efficacy', 'Log-linear models', 'Misclassification', 'Pertussis', 'Vaccine']",False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1673,50,7.0266e-05,299.2474999919068,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-9wy38uaCDSfJvVl1MtEl,,1d16b25dcca8,2026-09-19T18:39:48+00:00
43,S400-044,SCOPUS_ID:0036605502,10.1093/aje/155.11.1007,Lower limb venous insufficiency and tobacco smoking: A case-control study,American Journal Of Epidemiology,"['Case-control studies', 'Leg', 'Risk factors', 'Smoking', 'Tobacco', 'Venous insufficiency']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1708,50,7.1736e-05,281.8439159891568,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-HxAgoB2XPmhh2bHfsdmn,,1d16b25dcca8,2026-09-19T18:39:48+00:00
44,S400-045,SCOPUS_ID:0032810632,10.2105/AJPH.89.9.1406,Prevalence and correlates of survival sex among runaway and homeless youth,American Journal Of Public Health,[],True,,True,,,,,,,True,0.95,True,yes,1.0,1.0,1482,50,6.2244e-05,346.99716698378325,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-slmOAa4JMuEnQOHMkuQ7,,1d16b25dcca8,2026-09-19T18:39:48+00:00
45,S400-046,SCOPUS_ID:84880143281,10.2105/AJPH.2012.301075,Measles vaccination: Before the measles-mumps-rubella vaccine,American Journal Of Public Health,[],True,non-empirical,True,,,,,,,True,0.61,True,yes,0.68,0.35,1578,50,6.6276e-05,246.53991698869504,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-qXYMkGmjFTLD9KvUMwpM,,1d16b25dcca8,2026-09-19T18:39:48+00:00
46,S400-047,SCOPUS_ID:84960193645,10.1093/aje/kwv175,Correlates of Peripheral Blood Mitochondrial DNA Content in a General Population,American Journal Of Epidemiology,"['General population', 'mitochondrial DNA', 'peripheral blood']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1722,50,7.2324e-05,240.87412501103245,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-aowGAMsbaEhWohxvVWzR,,1d16b25dcca8,2026-09-19T18:39:48+00:00
47,S400-048,SCOPUS_ID:1942445076,10.1093/eurpub/14.1.19,The incidence and repetition of attempted suicide in Ireland,European Journal Of Public Health,"['Attempted suicide', 'Incidence', 'Ireland']",False,,False,,,,,,,True,0.12,False,no,0.03,0.95,1775,50,7.455e-05,285.64808299415745,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-Vc55l5fEXxppnIUwtEk6,,1d16b25dcca8,2026-09-19T18:39:48+00:00
48,S400-049,SCOPUS_ID:0030297061,10.1006/pmed.1996.9998,Home apnea monitoring and sudden infant death syndrome,Preventive Medicine,"['apnea monitor', 'race', 'Sudden Infant Death Syndrome']",False,,False,,,,,,,True,0.05,False,no,0.0,1.0,1759,50,7.3878e-05,285.10091599309817,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-NEoWzPKm9wf8TlhK95SI,,1d16b25dcca8,2026-09-19T18:39:48+00:00
49,S400-050,SCOPUS_ID:84872530047,10.2105/AJPH.2012.300743,Fundamental causes of colorectal cancer mortality in the United States: Understanding the importance of socioeconomic status in creating inequality in mortality,American Journal Of Public Health,[],False,,False,,,,,,,True,0.04,False,no,0.0,1.0,1563,50,6.5646e-05,287.5327500223648,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-bRLh6a5nopXdKNjAgo5S,,1d16b25dcca8,2026-09-19T18:39:48+00:00
50,S400-051,SCOPUS_ID:85040967357,10.1016/j.amepre.2017.12.005,Nonfatal Injuries to Law Enforcement Officers: A Rise in Assaults,American Journal Of Preventive Medicine,[],True,,True,,,,,,,True,0.76,True,yes,0.89,0.78,1758,50,7.3836e-05,284.167832985986,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-Si7qQKEnKGjZ6fDoNNis,,1d16b25dcca8,2026-09-19T18:39:48+00:00
51,S400-052,SCOPUS_ID:84964047116,10.1097/eDe.0000000000000449,Evaluating additive interaction using survival percentiles,Epidemiology,[],False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1647,50,6.9174e-05,300.53391700494103,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-ormOJegRgYI30QbcWHQV,,1d16b25dcca8,2026-09-19T18:39:48+00:00
52,S400-053,SCOPUS_ID:84879879356,10.1097/EDE.0b013e3182949ce5,Does ambient air pollution trigger stillbirth?,Epidemiology,[],False,,False,,,,,,,True,0.05,False,no,0.0,1.0,1785,50,7.497e-05,303.157165995799,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-LG7PRD1foQ1alnplMBGL,,1d16b25dcca8,2026-09-19T18:39:48+00:00
53,S400-054,SCOPUS_ID:84863718076,10.1007/s10654-012-9675-9,Early respiratory morbidity in a multicultural birth cohort: The Generation R Study,European Journal Of Epidemiology,"['Ethnicity', 'Infants', 'Pre and postnatal exposures', 'Prospective birth cohort', 'Respiratory symptoms']",False,,False,,,,,,,True,0.03,False,no,0.0,1.0,1749,50,7.3458e-05,258.1617080140859,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-6bHXKkDGyTVx8k2AKoaq,,1d16b25dcca8,2026-09-19T18:39:48+00:00
54,S400-055,SCOPUS_ID:0036197215,10.1136/jech.56.4.301,Comparing hospital discharge records with death certificates: Can the differences be explained?,Journal Of Epidemiology And Community Health,[],False,,False,,,,,,,True,0.05,False,no,0.0,1.0,1662,50,6.9804e-05,342.2204999951646,1,typesafe/jev-1.13-20260917,gen-dec-1789843188-8p84bYLuCxwEpdovGdlE,,1d16b25dcca8,2026-09-19T18:39:49+00:00
