source_row,review_id,source_row_index,scopus_id,doi,title,journal,publication_year,design_title,design_abstract,design_strict,design_keywords,design_combined,design_combined_unambiguous,is_methodological,is_excluded_sensitivity,is_policy_analysis_eval,is_methods_qe,llm_policy_claim,keywords,manual_check1,manual_check2,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
10,DES-011,8897,SCOPUS_ID:0242289627,10.1016/s0749-3797(03)00218-6,Relationships between body mass indices and surgical replacements of knee and hip joints,American Journal Of Preventive Medicine,2003,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.03,FALSE,no,0,1,1792,50,7.5264e-5,846.387,,typesafe/jev-1.13-20260917,gen-dec-1789843827-80zDmP6I77yP9EkI8LKg,,1d16b25dcca8,2026-09-19T18:50:35+0000
11,DES-012,12585,SCOPUS_ID:85125459648,10.1016/j.amepre.2021.12.012,Sustained Impact of the Philadelphia Beverage Tax on Beverage Prices and Sales Over 2 Years,American Journal Of Preventive Medicine,2022,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,FALSE,TRUE,FALSE,TRUE,FALSE,,,,TRUE,0.05,FALSE,no,0,1,1754,50,7.3668e-5,303.44300000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843827-hj6cF2DsDqPBc2XbOHB4,,1d16b25dcca8,2026-09-19T18:50:35+0000
12,DES-013,3601,SCOPUS_ID:26444566662,10.1093/aje/kwi262,Association of Chlamydia trachomatis with persistence of high-risk types of human papillomavirus in a cohort of female adolescents,American Journal Of Epidemiology,2005,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,"Adolescent; Chlamydia trachomatis; Longitudinal studies; Neisseria gonorrhoeae; Papillomavirus, human; Sexually transmitted diseases; Trichomonas vaginalis; Vaginosis, bacterial",,,TRUE,0.03,FALSE,no,0,1,1710,50,7.182e-5,809.9889999999999,,typesafe/jev-1.13-20260917,gen-dec-1789843827-QNhkmbBya7GmHhmH1DGO,,1d16b25dcca8,2026-09-19T18:50:35+0000
13,DES-014,38733,SCOPUS_ID:85127816411,10.1136/jech-2021-217266,Time trend analysis of social inequalities in psychological distress among young adults before and during the pandemic: evidence from the UK Household Longitudinal Study COVID-19 waves,Journal Of Epidemiology And Community Health,2022,Cohort,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.96,TRUE,yes,1,1,1770,50,7.434e-5,367.73,,typesafe/jev-1.13-20260917,gen-dec-1789843827-oWEgfLVjRVio1UCNY42T,,1d16b25dcca8,2026-09-19T18:50:35+0000
14,DES-015,42562,SCOPUS_ID:84887824395,10.1016/j.ypmed.2013.10.006,American adults eligible for the supplemental nutritional assistance program consume more sugary beverages than ineligible adults,Preventive Medicine,2013,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,FALSE,Adults; SNAP; Sugar-sweetened bevearge consumption,,,TRUE,0.05,FALSE,no,0,1,1721,50,7.2282e-5,424.274,,typesafe/jev-1.13-20260917,gen-dec-1789843827-C32qAH0RegPHERMXKIoc,,1d16b25dcca8,2026-09-19T18:50:35+0000
15,DES-016,2828,SCOPUS_ID:0035863438,10.1093/aje/153.2.114,Excess incidence of squamous cell esophageal cancer among US black men: Role of social class and other risk factors,American Journal Of Epidemiology,2001,Other/None,Case-control,Case-control,Case-control,Case-control,Case-control,FALSE,FALSE,FALSE,FALSE,TRUE,Alcohol drinking; Case-control studies; Diet; Esophageal neoplasms; Racial stocks; Risk factors; Social class; Tobacco,,,TRUE,0.74,TRUE,yes,0.84,0.68,1735,50,7.287e-5,620.2520000000001,,typesafe/jev-1.13-20260917,gen-dec-1789843827-BZZ0g01IcICRcOUQBae1,,1d16b25dcca8,2026-09-19T18:50:35+0000
16,DES-017,11916,SCOPUS_ID:85059576723,10.1016/j.amepre.2018.08.024,"Bringing “The Real Cost” to Life Through Breakthrough, Evidence-Based Advertising",American Journal Of Preventive Medicine,2019,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.03,FALSE,no,0,1,1591,50,6.6822e-5,290.421,,typesafe/jev-1.13-20260917,gen-dec-1789843827-LGZlXOpq89QyV8du4DKr,,1d16b25dcca8,2026-09-19T18:50:35+0000
17,DES-018,19133,SCOPUS_ID:84896499895,10.2105/ajph.2013.301837,Effectiveness of the cigarette ignition propensity standard in preventing unintentional residential fires in Massachusetts,American Journal Of Public Health,2014,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Other/None,FALSE,TRUE,FALSE,TRUE,TRUE,,,,TRUE,0.97,TRUE,yes,1,1,1625,50,6.825e-5,255.183,,typesafe/jev-1.13-20260917,gen-dec-1789843828-JYlqgk7vZXBCI5fURcES,,1d16b25dcca8,2026-09-19T18:50:35+0000
18,DES-019,11751,SCOPUS_ID:85073516094,10.1016/j.amepre.2019.06.019,Sugar-Sweetened Beverage Health Warnings and Purchases: A Randomized Controlled Trial,American Journal Of Preventive Medicine,2019,Experimental,Other/None,Experimental,Other/None,Experimental,Experimental,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.83,TRUE,yes,0.93,0.87,1909,50,8.0178e-5,361.05199999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843828-XNBMiPsSnfTz6pxIE7iV,,1d16b25dcca8,2026-09-19T18:50:35+0000
19,DES-020,18448,SCOPUS_ID:84886412652,10.2105/ajph.2013.301283,Medicaid expansion initiative in Massachusetts: Enrollment among substance-abusing homeless adults,American Journal Of Public Health,2013,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Other/None,FALSE,TRUE,FALSE,TRUE,TRUE,,,,TRUE,0.94,TRUE,yes,0.99,0.99,1608,50,6.7536e-5,328.09700000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843828-izq7BS1lYHq2CaRMVLP4,,1d16b25dcca8,2026-09-19T18:50:35+0000
20,DES-021,23978,SCOPUS_ID:85196885941,10.1097/ede.0000000000001740,Scarring in Utero: An Attempt to Validate with Data Unconfounded by Migration and Medical Care,Epidemiology,2024,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,Environmental stressors; Gestation; Longevity; Scarring,,,TRUE,0.04,FALSE,no,0,1,1684,50,7.0728e-5,417.27500000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843828-nu0NbgH3x9bjqju5yjWt,,1d16b25dcca8,2026-09-19T18:50:35+0000
21,DES-022,3381,SCOPUS_ID:4544377996,10.1093/aje/kwh260,Intussusception and oral poliovirus vaccination: Is there an association?,American Journal Of Epidemiology,2004,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,FALSE,FALSE,FALSE,FALSE,FALSE,"Intussusception; Poliovirus vaccine, oral",,,TRUE,0.04,FALSE,no,0,1,1695,50,7.119e-5,325.125,,typesafe/jev-1.13-20260917,gen-dec-1789843828-LRW3yb7f1ounEglLsKfA,,1d16b25dcca8,2026-09-19T18:50:35+0000
22,DES-023,9518,SCOPUS_ID:42949162520,10.1016/j.amepre.2008.03.005,"Did Augmenting the VERB<sup>™</sup> Campaign Advertising in Select Communities Have an Effect on Awareness, Attitudes, and Physical Activity?",American Journal Of Preventive Medicine,2008,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,FALSE,TRUE,FALSE,TRUE,FALSE,,,,TRUE,0.42,FALSE,no,0.43,0.14,1733,50,7.2786e-5,283.845,,typesafe/jev-1.13-20260917,gen-dec-1789843828-aBAyo92QcLDxuRd4GXb9,,1d16b25dcca8,2026-09-19T18:50:35+0000
23,DES-024,28826,SCOPUS_ID:85059268535,10.1093/eurpub/cky100,"The association between discrimination and health: Findings on Russian, Somali and Kurdish origin populations in Finland",European Journal Of Public Health,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.96,TRUE,yes,1,1,1684,50,7.0728e-5,249.477,,typesafe/jev-1.13-20260917,gen-dec-1789843828-GA8or5gQNfhELK1JSElg,,1d16b25dcca8,2026-09-19T18:50:35+0000
24,DES-025,31698,SCOPUS_ID:0033855597,10.1093/ije/29.4.629,"High-risk mammographic parenchymal patterns, hormone replacement therapy and other risk factors: A case-control study",International Journal Of Epidemiology,2000,Case-control,Case-control,Case-control,Other/None,Case-control,Case-control,FALSE,FALSE,FALSE,FALSE,TRUE,Breast parenchymal patterns; Hormone replacement therapy; Mammography; Menopausal status,,,TRUE,0.74,TRUE,yes,0.9,0.8,1706,50,7.1652e-5,314.416,,typesafe/jev-1.13-20260917,gen-dec-1789843828-njoAuJQEAeiyFz6q0hiE,,1d16b25dcca8,2026-09-19T18:50:35+0000
25,DES-026,44871,SCOPUS_ID:85103981569,10.1016/j.ypmed.2021.106546,Gains in insurance coverage following the affordable care act and change in preventive services use among non-elderly US immigrants,Preventive Medicine,2021,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,FALSE,TRUE,FALSE,TRUE,FALSE,,,,TRUE,0.09,FALSE,no,0,0.99,1713,50,7.1946e-5,380.93399999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843828-y0Woi38j6vaWTScEXIcy,,1d16b25dcca8,2026-09-19T18:50:35+0000
26,DES-027,29463,SCOPUS_ID:85102213306,10.1093/eurpub/ckaa153,Hospital practices for the implementation of patient partnership in a multi-national European region,European Journal Of Public Health,2021,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.06,FALSE,no,0,1,1629,50,6.8418e-5,320.00600000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843828-6yIJUq0ftObPz7ejwc1O,,1d16b25dcca8,2026-09-19T18:50:35+0000
27,DES-028,31772,SCOPUS_ID:0035171270,10.1093/ije/30.5.1156,Comparing like with like: Some historical milestones in the evolution of methods to create unbiased comparison groups in therapeutic experiments,International Journal Of Epidemiology,2001,Other/None,Experimental,Experimental,Other/None,Experimental,Experimental,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.04,FALSE,no,0,1,1646,50,6.9132e-5,330.839,,typesafe/jev-1.13-20260917,gen-dec-1789843828-Dyz5aqzYiignyQZ2zUHN,,1d16b25dcca8,2026-09-19T18:50:35+0000
28,DES-029,6799,SCOPUS_ID:85049005667,10.1093/aje/kwx353,Early Onset of Distress Disorders and High-School Dropout: Prospective Evidence from a National Cohort of Australian Adolescents,American Journal Of Epidemiology,2018,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,FALSE,FALSE,FALSE,FALSE,TRUE,adolescence; education; high-school incompletion; longitudinal; mental health,,,TRUE,0.77,TRUE,yes,0.94,0.88,1665,50,6.993e-5,278.83200000000005,,typesafe/jev-1.13-20260917,gen-dec-1789843828-6eHXL4ghVZ0fPgQjJWiS,,1d16b25dcca8,2026-09-19T18:50:35+0000
29,DES-030,12224,SCOPUS_ID:85108980788,10.1016/j.amepre.2021.04.022,Helpline Calls Associated With Preventable Emergency Department Utilization,American Journal Of Preventive Medicine,2021,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.9,TRUE,yes,0.99,0.98,1682,50,7.0644e-5,376.291,,typesafe/jev-1.13-20260917,gen-dec-1789843828-AUhLowI2FcLUh4hbwmuD,,1d16b25dcca8,2026-09-19T18:50:35+0000
30,DES-031,40324,SCOPUS_ID:0032703868,10.1006/pmed.1998.0570,Using mass media to promote healthy eating: A community-based demonstration project,Preventive Medicine,1999,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,FALSE,TRUE,FALSE,TRUE,FALSE,Advertising; Diet; Food habits; Health behavior; Health education; Mass media; Milk; Nutrition; Primary prevention; Public relations,,,TRUE,0.08,FALSE,no,0.01,0.98,1628,50,6.8376e-5,297.73,,typesafe/jev-1.13-20260917,gen-dec-1789843828-FF02Bk7TK6ZjVVVvSWys,,1d16b25dcca8,2026-09-19T18:50:35+0000
31,DES-032,6413,SCOPUS_ID:84959929928,10.1093/aje/kwv205,Associations of Inter- and Intraday Temperature Change with Mortality,American Journal Of Epidemiology,2016,Other/None,Ecological / Time-series,Ecological / Time-series,Other/None,Ecological / Time-series,Ecological / Time-series,FALSE,FALSE,FALSE,FALSE,FALSE,ambient temperature; diurnal temperature range; mortality; temperature variation,,,TRUE,0.04,FALSE,no,0,1,1760,50,7.392e-5,288.97,,typesafe/jev-1.13-20260917,gen-dec-1789843828-9BT9vP6y3pC5EWmAW6lf,,1d16b25dcca8,2026-09-19T18:50:35+0000
32,DES-033,41425,SCOPUS_ID:14644395473,10.1016/j.ypmed.2004.07.018,Job stress and cardiovascular risk factors in male workers,Preventive Medicine,2005,Other/None,Other/None,Other/None,Other/None,Other/None,Other/None,FALSE,FALSE,FALSE,FALSE,FALSE,Blood pressure; Cardiovascular risk factors; Cholesterol; Decision latitude; Homocystein; Job strain; Job stress; Smoking; Work demand,,,TRUE,0.06,FALSE,no,0,1,1645,50,6.909e-5,318.804,,typesafe/jev-1.13-20260917,gen-dec-1789843828-EdijoguzAppFxAuua6A5,,1d16b25dcca8,2026-09-19T18:50:35+0000
33,DES-034,4167,SCOPUS_ID:34447282814,10.1093/aje/kwm013,Anthropometrics and prostate cancer risk,American Journal Of Epidemiology,2007,Other/None,Cohort,Cohort,Cohort,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,Body height; Body mass index; Body weight; Body weight changes; Cohort studies; Longitudinal studies; Prostatic neoplasms,,,TRUE,0.04,FALSE,no,0,1,1782,50,7.4844e-5,347.454,,typesafe/jev-1.13-20260917,gen-dec-1789843828-PAyrNYkjuYGzbrkXfm1Z,,1d16b25dcca8,2026-09-19T18:50:35+0000
34,DES-035,19655,SCOPUS_ID:84990228591,10.2105/ajph.2016.303371,Replicating cuídate: 6-month impact findings of a randomized controlled trial,American Journal Of Public Health,2016,Experimental,Experimental,Experimental,Other/None,Experimental,Experimental,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.04,FALSE,no,0,1,1670,50,7.014e-5,329.351,,typesafe/jev-1.13-20260917,gen-dec-1789843828-mMTSMg2kBWTuJDZLuiGO,,1d16b25dcca8,2026-09-19T18:50:35+0000
35,DES-036,8587,SCOPUS_ID:0033777398,10.1016/s0749-3797(00)00227-0,Severe dating violence and quality of life among South Carolina high school students,American Journal Of Preventive Medicine,2000,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.95,TRUE,yes,1,1,1761,50,7.3962e-5,367.32,,typesafe/jev-1.13-20260917,gen-dec-1789843828-iqJAqVjvUEvygeXZqxDw,,1d16b25dcca8,2026-09-19T18:50:35+0000
36,DES-037,37745,SCOPUS_ID:84934766877,10.1136/jech-2014-204971,Are fluoride levels in drinking water associated with hypothyroidism prevalence in england? A large observational study of GP practice data and fluoride levels in drinking water,Journal Of Epidemiology And Community Health,2015,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.83,TRUE,yes,0.95,0.89,1672,50,7.0224e-5,269.75,,typesafe/jev-1.13-20260917,gen-dec-1789843828-XESJmWMbf7VKFRXnGqos,,1d16b25dcca8,2026-09-19T18:50:35+0000
37,DES-038,15637,SCOPUS_ID:0033922364,10.2105/ajph.90.7.1049,The social geography of AIDS and hepatitis risk: Qualitative approaches for assessing local differences in sterile-syringe access among injection drug users,American Journal Of Public Health,2000,Qualitative,Other/None,Qualitative,Other/None,Qualitative,Qualitative,FALSE,FALSE,FALSE,FALSE,FALSE,,,,TRUE,0.05,FALSE,no,0,1,1582,50,6.6444e-5,295.07800000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843828-vcebI02stZIz4I6TAQms,,1d16b25dcca8,2026-09-19T18:50:35+0000
38,DES-039,31431,SCOPUS_ID:0032723302,10.1093/ije/28.5.982,American cutaneous leishmaniasis in Southeast Brazil: Space-time clustering,International Journal Of Epidemiology,1999,Other/None,Ecological / Time-series,Ecological / Time-series,Other/None,Ecological / Time-series,Ecological / Time-series,FALSE,FALSE,FALSE,FALSE,FALSE,American cutaneous leishmaniasis; Cluster analysis; Geography; Herd immunity; Temporal series; Temporal-space patterns,,,TRUE,0.05,FALSE,no,0,1,1727,50,7.2534e-5,256.59,,typesafe/jev-1.13-20260917,gen-dec-1789843828-RsSL2hVP0h5natnzoIcp,,1d16b25dcca8,2026-09-19T18:50:35+0000
39,DES-040,45670,SCOPUS_ID:85196510896,10.1016/j.ypmed.2024.108041,Serious psychological distress and higher associations with tobacco and cannabis use among college students in the United States,Preventive Medicine,2024,Other/None,Cross-sectional,Cross-sectional,Other/None,Cross-sectional,Cross-sectional,FALSE,FALSE,FALSE,FALSE,TRUE,Cannabis; Cigarettes; College students; E-cigarettes; Serious psychological distress; Tobacco,,,TRUE,0.97,TRUE,yes,1,1,1707,50,7.1694e-5,375.124,,typesafe/jev-1.13-20260917,gen-dec-1789843828-WatCmscgo49omPstRNZR,,1d16b25dcca8,2026-09-19T18:50:35+0000
40,DES-041,38082,SCOPUS_ID:85032588206,10.1136/jech-2017-208899,Mental health impacts of flooding: A controlled interrupted time series analysis of prescribing data in England,Journal Of Epidemiology And Community Health,2017,Quasi-experimental,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Other/None,FALSE,TRUE,FALSE,TRUE,FALSE,,,,TRUE,0.05,FALSE,no,0,1,1608,50,6.7536e-5,344.041,,typesafe/jev-1.13-20260917,gen-dec-1789843828-K5O9b0vea6yXCqb9oFjZ,,1d16b25dcca8,2026-09-19T18:50:35+0000
41,DES-042,25704,SCOPUS_ID:79151483327,10.1007/s10654-010-9521-x,LifeGene - A large prospective population-based study of global relevance,European Journal Of Epidemiology,2011,Other/None,Cohort,Cohort,Cohort,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,Biobank; Cohort study; Epidemiology; Population genetics; Prospective study; Questionnaires,,,TRUE,0.03,FALSE,no,0,1,1670,50,7.014e-5,266.955,,typesafe/jev-1.13-20260917,gen-dec-1789843828-xiq6m4fnJ1kkq3DVU6Hv,,1d16b25dcca8,2026-09-19T18:50:35+0000
42,DES-043,12592,SCOPUS_ID:85122516860,10.1016/j.amepre.2021.11.004,"Appropriateness of Antibiotic Prophylaxis Before Dental Procedures, 2016–2018",American Journal Of Preventive Medicine,2022,Other/None,Cohort,Cohort,Other/None,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,TRUE,,,,TRUE,0.87,TRUE,yes,0.99,0.97,1717,50,7.2114e-5,580.586,,typesafe/jev-1.13-20260917,gen-dec-1789843829-8tanXkDEtqh26gadYnHX,,1d16b25dcca8,2026-09-19T18:50:35+0000
43,DES-044,33810,SCOPUS_ID:85050484953,10.1093/ije/dyx271,NMR metabolomic signatures reveal predictive plasma metabolites associated with long-term risk of developing breast cancer,International Journal Of Epidemiology,2018,Other/None,Case-control,Case-control,Other/None,Case-control,Case-control,FALSE,FALSE,FALSE,FALSE,FALSE,Breast neoplasm; Metabolomics; Nuclear magnetic resonance; Plasma; Prospective study,,,TRUE,0.27,FALSE,no,0.21,0.58,1791,50,7.5222e-5,271.869,,typesafe/jev-1.13-20260917,gen-dec-1789843829-cn5qOHrvnA6lhFGYJ7NY,,1d16b25dcca8,2026-09-19T18:50:35+0000
44,DES-045,32036,SCOPUS_ID:0038187649,10.1093/ije/dyg056,"Mortality among pilots and cabin crew in Greece, 1990-1997",International Journal Of Epidemiology,2003,Other/None,Cohort,Cohort,Cohort,Cohort,Cohort,FALSE,FALSE,FALSE,FALSE,FALSE,Airline pilots; Cabin crew; Cohort study; Cosmic radiation; Follow-up study; Mortality; Standardized mortality ratio,,,TRUE,0.03,FALSE,no,0,1,1779,50,7.4718e-5,369.67,,typesafe/jev-1.13-20260917,gen-dec-1789843829-DZz2F88Kiwyr1rmLqxGO,,1d16b25dcca8,2026-09-19T18:50:35+0000
45,DES-046,12120,SCOPUS_ID:85079077460,10.1016/j.amepre.2019.09.024,Health for Hearts United Longitudinal Trial: Improving Dietary Behaviors in Older African Americans,American Journal Of Preventive Medicine,2020,Other/None,Quasi-experimental,Quasi-experimental,Other/None,Quasi-experimental,Quasi-experimental,FALSE,TRUE,FALSE,TRUE,FALSE,,,,TRUE,0.07,FALSE,no,0,0.99,1883,50,7.9086e-5,334.214,,typesafe/jev-1.13-20260917,gen-dec-1789843829-65vaSJ35BifwlR7Qj7u2,,1d16b25dcca8,2026-09-19T18:50:35+0000
