source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes...12,EC review,EC notes,DB notes...15,...16,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,...25,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
27,SCOPUS_ID:0028997640,10.2105/AJPH.85.6.854,A preventive child health program: The effect of telephone and home visits by public health nurses,American Journal of Public Health,1995,[],United States,20,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1473,50,6.1866e-5,272.227,,typesafe/jev-1.13-20260917,gen-dec-1789843860-GUNddp4AHgpDeyNN6fGJ,,1d16b25dcca8,2026-09-19T18:51:08+0000
28,SCOPUS_ID:78650909890,10.2105/AJPH.2009.182287,Potential national and state medical care savings from primary disease prevention,American Journal of Public Health,2011,[],United States,22,FALSE,FALSE,clear LLM mistake?,FALSE,"Agreed, not sure what it picked up here",,,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.62,TRUE,yes,0.62,0.25,1595,50,6.699e-5,339.727,,typesafe/jev-1.13-20260917,gen-dec-1789843861-pjmh3vph6GmhddAjR5aO,,1d16b25dcca8,2026-09-19T18:51:08+0000
29,SCOPUS_ID:0026733346,10.1093/oxfordjournals.aje.a116486,Childhood weight and growth rate as predictors of adult mortality,American Journal of Epidemiology,1992,"['Anthropometry', 'Body height', 'Body weight', 'Child', 'Growth', 'Mortality']",United States,207,FALSE,FALSE,clear LLM mistake?,FALSE,"Agreed, not sure what it picked up here",,,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.66,TRUE,yes,0.81,0.63,1667,50,7.0014e-5,267.432,,typesafe/jev-1.13-20260917,gen-dec-1789843861-jLpipFnn2SqLYqqtSMNh,,1d16b25dcca8,2026-09-19T18:51:08+0000
30,SCOPUS_ID:0041509097,10.1093/aje/kwg150,Searching for disease-susceptibility loci by testing for Hardy-Weinberg disequilibrium in a gene bank of affected individuals,American Journal of Epidemiology,2003,"['Disease susceptibility', 'Epidemiologic methods', 'Gene library', 'Genetics', 'Genome', 'Hardy-Weinberg equilibrium', 'Monte Carlo method', 'Polymorphism, single nucleotide']",Taiwan,101,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1585,50,6.657e-5,285.022,,typesafe/jev-1.13-20260917,gen-dec-1789843861-s7GzuT1RSt6fEn9G0IBP,,1d16b25dcca8,2026-09-19T18:51:08+0000
31,SCOPUS_ID:34247537778,10.1093/ije/dyl267,Are socially disadvantaged neighbourhoods deprived of health-related community resources?,International Journal of Epidemiology,2007,"['Community resources', 'Context', 'Health inequality', 'Neighbourhoods', 'New Zealand']",New Zealand,190,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.09,FALSE,no,0.01,0.98,1703,50,7.1526e-5,391.257,,typesafe/jev-1.13-20260917,gen-dec-1789843861-LNigCifk9idTfYDWDgMd,,1d16b25dcca8,2026-09-19T18:51:08+0000
32,SCOPUS_ID:33750628586,10.1136/jech.2005.043182,Validity of age at menarche self-reported in adulthood,Journal of Epidemiology & Community Health,2006,[],United Kingdom,163,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.12,FALSE,no,0.05,0.91,1640,50,6.888e-5,281.934,,typesafe/jev-1.13-20260917,gen-dec-1789843861-GqlnneEhHWSCMh3GkYaQ,,1d16b25dcca8,2026-09-19T18:51:08+0000
33,SCOPUS_ID:0344117621,10.1093/eurpub/9.3.181,Physician recommendations for coronary revascularization: Variations by clinical speciality,European Journal of Public Health,1999,"['Appropriateness', 'Coronary artery bypass graft surgery', 'Percutaneous transluminal coronary angioplasty']",United States,16,FALSE,TRUE,hard to call,FALSE,not sure here as it is a practical implication rather than a policy implication. It is hard with the diversity of papers we have. Maybe discuss with our co-authors.,,,,,,TRUE,TRUE,change in policy re: future panel composition on the basis of a single study,TRUE,agree with change in policy recommended,,TRUE,TRUE,,TRUE,0.65,TRUE,yes,0.8,0.61,1785,50,7.497e-5,281.48400000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843861-IADUK5as1wNlbTy0HEQ6,,1d16b25dcca8,2026-09-19T18:51:08+0000
34,SCOPUS_ID:0034541277,10.1093/aje/152.11.1072,Validation of three food frequency questionnaires and 24-hour recalls with serum carotenoid levels in a sample of African-American adults,American Journal of Epidemiology,2000,"['Antioxidants', 'Biological markers', 'Carotenoids', 'Diet surveys', 'Fruits', 'Questionnaires', 'Recall', 'Vegetables']",United States,196,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.18,FALSE,no,0.1,0.8,1725,50,7.245e-5,371.64399999999995,,typesafe/jev-1.13-20260917,gen-dec-1789843861-m9lX8ZqAwGdz2Y6ndZqs,,1d16b25dcca8,2026-09-19T18:51:08+0000
35,SCOPUS_ID:84885841557,10.1016/j.ypmed.2013.07.007,Who uses new walking and cycling infrastructure and how? Longitudinal results from the UK iConnect study,Preventive Medicine,2013,"['Built environment', 'Cycling', 'Infrastructure', 'Walking']",Australia,89,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.2,FALSE,no,0.09,0.81,1680,50,7.056e-5,406.722,,typesafe/jev-1.13-20260917,gen-dec-1789843861-cDJghLUXtKkJuGnyMfec,,1d16b25dcca8,2026-09-19T18:51:08+0000
36,SCOPUS_ID:32344440035,10.1016/j.amepre.2005.11.001,Cigarette promotional offers: Who takes advantage?,American Journal of Preventive Medicine,2006,[],United States,47,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0,1,1697,50,7.1274e-5,270.25100000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843861-A4243ql0a9eiEOPMCAvF,,1d16b25dcca8,2026-09-19T18:51:08+0000
37,SCOPUS_ID:77952942744,10.1093/aje/kwq045,Body fatness at young ages and risk of breast cancer throughout life,American Journal of Epidemiology,2010,"['Adiposity', 'Adolescent', 'Breast neoplasms', 'Child', 'Obesity']",United States,187,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.02,FALSE,no,0,1,1767,50,7.4214e-5,249.81400000000002,,typesafe/jev-1.13-20260917,gen-dec-1789843861-frYKjFGEVZmpwNWnsfID,,1d16b25dcca8,2026-09-19T18:51:08+0000
38,SCOPUS_ID:84929335072,10.2105/AJPH.2015.302628,"Polling places, pharmacies, and public health: Vote &amp; Vax 2012",American Journal of Public Health,2015,[],United States,3,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0,0.99,1529,50,6.4218e-5,232.722,,typesafe/jev-1.13-20260917,gen-dec-1789843861-WmUbto6y8UpmMh5Tt5Ly,,1d16b25dcca8,2026-09-19T18:51:08+0000
39,SCOPUS_ID:85133980653,10.1093/aje/kwac025,Sampling Validation Data to Achieve a Planned Precision of the Bias-Adjusted Estimate of Effect,American Journal of Epidemiology,2022,"['epidemiologic methods', 'quantitative bias analysis', 'study design', 'validation substudies']",United States,1,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1577,50,6.6234e-5,620.293,,typesafe/jev-1.13-20260917,gen-dec-1789843861-ASdMiDb65ZMMJzYwfI5U,,1d16b25dcca8,2026-09-19T18:51:08+0000
40,SCOPUS_ID:0028170572,10.2105/AJPH.84.9.1439,Black-White differences in serum cotinine levels among pregnant women and subsequent effects on infant birthweight,American Journal of Public Health,1994,[],United States,95,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1610,50,6.762e-5,278.814,,typesafe/jev-1.13-20260917,gen-dec-1789843861-yCjCnMgXAYk1gR29889M,,1d16b25dcca8,2026-09-19T18:51:08+0000
41,SCOPUS_ID:79952050640,10.1093/ije/dyq164,Prospective cohort study of breast implants and the risk of connective-tissue diseases,International Journal of Epidemiology,2011,"['Breast implants', 'Cohort studies', 'Connective-tissue diseases', ""Women's health""]",United States,20,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1809,50,7.5978e-5,285.021,,typesafe/jev-1.13-20260917,gen-dec-1789843861-eKD8rm4E9GEr6VFfis2h,,1d16b25dcca8,2026-09-19T18:51:08+0000
42,SCOPUS_ID:0041803240,10.1023/A:1024686625528,Birth weight and risk of angina pectoris: Analysis in Swedish twins,European Journal of Epidemiology,2003,"['Angina pectoris', 'Birth weight', 'Coronary heart disease', 'Twin study']",Sweden,17,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1762,50,7.4004e-5,242.698,,typesafe/jev-1.13-20260917,gen-dec-1789843861-pOnhQZQH2dnz3ASF16QD,,1d16b25dcca8,2026-09-19T18:51:08+0000
43,SCOPUS_ID:0030889263,,"The Dutch EPIC Food Frequency Questionnaire. I. Description of the questionnaire, and relative validity and reproducibility for food groups",International Journal of Epidemiology,1997,"['EPIC', 'Food frequency questionnaire', 'Food groups', 'Food photographs', 'Relative validity', 'Reproducibility']",Netherlands,362,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1701,50,7.1442e-5,281.25600000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843861-0EalCDaunJHrHhxDKhKS,,1d16b25dcca8,2026-09-19T18:51:08+0000
44,SCOPUS_ID:85022341794,10.1016/j.ypmed.2017.07.005,"Is the link between movement and mental health a two-way street? Prospective associations between physical activity, sedentary behaviour and depressive symptoms among women living in socioeconomically disadvantaged neighbourhoods",Preventive Medicine,2017,"['Exercise, sedentary lifestyle', 'Mental health', 'Sitting', 'Vulnerable populations', 'Women']",Australia,27,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1834,50,7.7028e-5,332.759,,typesafe/jev-1.13-20260917,gen-dec-1789843861-xpK5aPmzsumEBCxVU2SG,,1d16b25dcca8,2026-09-19T18:51:08+0000
