source_row,scopus_id,doi,title,journal,publication_year,keywords,corresponding_author_country,cited_by_count,policy_claim_via_terms,DB review,DB notes...12,EC review,EC notes,DB notes...15,...16,MW review,MW notes,discrepant?,db re-review,llm_policy_claim,reasoning,EC re-review,EC reasoning,...25,agreed_gold_standard,agreed_gold_standard_with_exclusions,exclusion reason,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
19,SCOPUS_ID:0037209068,10.1097/00001648-200301000-00009,The effect of concurvity in generalized additive models linking mortality to ambient particulate matter,Epidemiology,2003,"['Air pollution', 'Concurvity', 'Generalized additive model', 'PM 10', 'PM 2.5', 'Sulfate particles']",Canada,212,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1562,50,6.5604e-5,961.115,,typesafe/jev-1.13-20260917,gen-dec-1789843872-92UbQl4QI2gsFSmCrE78,,1d16b25dcca8,2026-09-19T18:51:19+0000
20,SCOPUS_ID:85097113376,10.1093/aje/kwaa139,Incidence Correction Factors for Moderate and Severe Acute Child Malnutrition from 2 Longitudinal Cohorts in Mali and Burkina Faso,American Journal of Epidemiology,2020,"['burden of acute malnutrition', 'child acute malnutrition', 'cumulative incidence', 'incidence correction factor K', 'longitudinal data', 'moderate acute malnutrition', 'prevalence', 'severe acute malnutrition']",United States,5,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.05,FALSE,no,0,1,1666,50,6.9972e-5,764.035,,typesafe/jev-1.13-20260917,gen-dec-1789843872-MIRDpK4Ji766UHhbzRKZ,,1d16b25dcca8,2026-09-19T18:51:19+0000
21,SCOPUS_ID:70249102791,10.1093/aje/kwp179,Determinants of first puff and daily cigarette smoking in adolescents,American Journal of Epidemiology,2009,"['Adolescent', 'Epidemiologic factors', 'Incidence', 'Longitudinal studies', 'Risk factors', 'Smoking']",Canada,186,FALSE,TRUE,clear,TRUE,"Agreed, with the use of 'strategies'",,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.97,TRUE,yes,1,1,1646,50,6.9132e-5,942.645,,typesafe/jev-1.13-20260917,gen-dec-1789843872-khtET1cKTtaOdBHTXcGI,,1d16b25dcca8,2026-09-19T18:51:19+0000
22,SCOPUS_ID:0031689886,10.1016/S0749-3797(98)00049-X,Costs of maternal conditions attributable to smoking during pregnancy,American Journal of Preventive Medicine,1998,"['Cost', 'Economics', 'Health behavior', 'Health care costs', 'Pregnancy', 'Smoking', 'Surveys']",United States,35,FALSE,TRUE,marginal,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.91,TRUE,yes,0.99,0.98,1739,50,7.3038e-5,521.7,,typesafe/jev-1.13-20260917,gen-dec-1789843872-9MZTLvqYzknKjRiookeR,,1d16b25dcca8,2026-09-19T18:51:19+0000
23,SCOPUS_ID:85149642428,10.2105/AJPH.2022.307207,"Housing Instability and Evictions Linked to Elevated Intimate Partner and Workplace Violence Among Women Sex Workers in Vancouver, Canada: Findings of a Prospective, Community-Based Cohort, 2010-2019",American Journal of Public Health,2022,[],United States,4,FALSE,TRUE,clear,TRUE,,,,,,,,TRUE,,TRUE,,,TRUE,TRUE,,TRUE,0.98,TRUE,yes,1,1,1672,50,7.0224e-5,289.208,,typesafe/jev-1.13-20260917,gen-dec-1789843872-kE2zKM6KdlOWDkfM7Fex,,1d16b25dcca8,2026-09-19T18:51:19+0000
24,SCOPUS_ID:0028286476,10.1136/jech.48.3.313,Estimating confidence limits on a standardised mortality ratio when the expected number is not error free,Journal of Epidemiology & Community Health,1994,[],United Kingdom,40,FALSE,FALSE,clear LLM mistake?,FALSE,"Agreed, not sure what it picked up here",me neither - all we can do is a the best with our prompts,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.21,FALSE,no,0.2,0.6,1694,50,7.1148e-5,687.689,,typesafe/jev-1.13-20260917,gen-dec-1789843872-SKQWHVbxHN8PJpQPZ1AR,,1d16b25dcca8,2026-09-19T18:51:19+0000
25,SCOPUS_ID:0028784286,10.1093/oxfordjournals.aje.a117747,Preschool physical activity level and change in body fatness in young children: The framingham children's study,American Journal of Epidemiology,1995,"['Child', 'Exercise', 'Obesity', 'Prospective studies', 'Skinfold thickness']",United States,211,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1710,50,7.182e-5,396.44800000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843872-hL8kxL9pnByAxtS86qgr,,1d16b25dcca8,2026-09-19T18:51:19+0000
26,SCOPUS_ID:85123459610,10.1093/ije/dyab095,Maternal smoking and smokeless tobacco use during pregnancy and offspring development: Sibling analysis in an intergenerational Swedish cohort,International Journal of Epidemiology,2021,"['confounding', 'fetal growth restriction', 'Intellectual disability', 'maternal prenatal smoking', 'siblings', 'snus']",United Kingdom,8,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1766,50,7.4172e-5,294.046,,typesafe/jev-1.13-20260917,gen-dec-1789843872-0UIMgCcuW67322M2PJOP,,1d16b25dcca8,2026-09-19T18:51:19+0000
27,SCOPUS_ID:0028997640,10.2105/AJPH.85.6.854,A preventive child health program: The effect of telephone and home visits by public health nurses,American Journal of Public Health,1995,[],United States,20,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1473,50,6.1866e-5,271.974,,typesafe/jev-1.13-20260917,gen-dec-1789843872-DOLWWME1So9wUWYmqOn2,,1d16b25dcca8,2026-09-19T18:51:19+0000
28,SCOPUS_ID:78650909890,10.2105/AJPH.2009.182287,Potential national and state medical care savings from primary disease prevention,American Journal of Public Health,2011,[],United States,22,FALSE,FALSE,clear LLM mistake?,FALSE,"Agreed, not sure what it picked up here",,,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.57,TRUE,yes,0.59,0.19,1595,50,6.699e-5,306.183,,typesafe/jev-1.13-20260917,gen-dec-1789843872-lFwm3C6YVEBli3vJ9RlD,,1d16b25dcca8,2026-09-19T18:51:19+0000
29,SCOPUS_ID:0026733346,10.1093/oxfordjournals.aje.a116486,Childhood weight and growth rate as predictors of adult mortality,American Journal of Epidemiology,1992,"['Anthropometry', 'Body height', 'Body weight', 'Child', 'Growth', 'Mortality']",United States,207,FALSE,FALSE,clear LLM mistake?,FALSE,"Agreed, not sure what it picked up here",,,,,,,TRUE,,FALSE,,,FALSE,FALSE,,TRUE,0.65,TRUE,yes,0.81,0.61,1667,50,7.0014e-5,284.339,,typesafe/jev-1.13-20260917,gen-dec-1789843872-xLt3lXtMXMymcu0EMXaG,,1d16b25dcca8,2026-09-19T18:51:19+0000
30,SCOPUS_ID:0041509097,10.1093/aje/kwg150,Searching for disease-susceptibility loci by testing for Hardy-Weinberg disequilibrium in a gene bank of affected individuals,American Journal of Epidemiology,2003,"['Disease susceptibility', 'Epidemiologic methods', 'Gene library', 'Genetics', 'Genome', 'Hardy-Weinberg equilibrium', 'Monte Carlo method', 'Polymorphism, single nucleotide']",Taiwan,101,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.04,FALSE,no,0,1,1585,50,6.657e-5,363.853,,typesafe/jev-1.13-20260917,gen-dec-1789843872-cu3jRGOKvzZAVYMKkV0W,,1d16b25dcca8,2026-09-19T18:51:19+0000
31,SCOPUS_ID:34247537778,10.1093/ije/dyl267,Are socially disadvantaged neighbourhoods deprived of health-related community resources?,International Journal of Epidemiology,2007,"['Community resources', 'Context', 'Health inequality', 'Neighbourhoods', 'New Zealand']",New Zealand,190,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.1,FALSE,no,0.01,0.98,1703,50,7.1526e-5,274.05400000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843872-SPH7sd9Ey88YzP9KSVt0,,1d16b25dcca8,2026-09-19T18:51:19+0000
32,SCOPUS_ID:33750628586,10.1136/jech.2005.043182,Validity of age at menarche self-reported in adulthood,Journal of Epidemiology & Community Health,2006,[],United Kingdom,163,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.12,FALSE,no,0.06,0.87,1640,50,6.888e-5,313.218,,typesafe/jev-1.13-20260917,gen-dec-1789843872-MTBtQf3VXL7TVm5xZAlz,,1d16b25dcca8,2026-09-19T18:51:19+0000
33,SCOPUS_ID:0344117621,10.1093/eurpub/9.3.181,Physician recommendations for coronary revascularization: Variations by clinical speciality,European Journal of Public Health,1999,"['Appropriateness', 'Coronary artery bypass graft surgery', 'Percutaneous transluminal coronary angioplasty']",United States,16,FALSE,TRUE,hard to call,FALSE,not sure here as it is a practical implication rather than a policy implication. It is hard with the diversity of papers we have. Maybe discuss with our co-authors.,,,,,,TRUE,TRUE,change in policy re: future panel composition on the basis of a single study,TRUE,agree with change in policy recommended,,TRUE,TRUE,,TRUE,0.69,TRUE,yes,0.83,0.67,1785,50,7.497e-5,292.68899999999996,,typesafe/jev-1.13-20260917,gen-dec-1789843872-XqQ0EThuJQx59oBBSfnw,,1d16b25dcca8,2026-09-19T18:51:19+0000
34,SCOPUS_ID:0034541277,10.1093/aje/152.11.1072,Validation of three food frequency questionnaires and 24-hour recalls with serum carotenoid levels in a sample of African-American adults,American Journal of Epidemiology,2000,"['Antioxidants', 'Biological markers', 'Carotenoids', 'Diet surveys', 'Fruits', 'Questionnaires', 'Recall', 'Vegetables']",United States,196,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.21,FALSE,no,0.11,0.78,1725,50,7.245e-5,311.904,,typesafe/jev-1.13-20260917,gen-dec-1789843872-fKloznUMiNTtIViB0ans,,1d16b25dcca8,2026-09-19T18:51:19+0000
35,SCOPUS_ID:84885841557,10.1016/j.ypmed.2013.07.007,Who uses new walking and cycling infrastructure and how? Longitudinal results from the UK iConnect study,Preventive Medicine,2013,"['Built environment', 'Cycling', 'Infrastructure', 'Walking']",Australia,89,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.21,FALSE,no,0.08,0.84,1680,50,7.056e-5,278.60400000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843872-Y8sqESWbYq8uxk14ZH2V,,1d16b25dcca8,2026-09-19T18:51:19+0000
36,SCOPUS_ID:32344440035,10.1016/j.amepre.2005.11.001,Cigarette promotional offers: Who takes advantage?,American Journal of Preventive Medicine,2006,[],United States,47,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0,1,1697,50,7.1274e-5,267.838,,typesafe/jev-1.13-20260917,gen-dec-1789843872-JxfE3lcG3LgAEJ9mO3fv,,1d16b25dcca8,2026-09-19T18:51:19+0000
37,SCOPUS_ID:77952942744,10.1093/aje/kwq045,Body fatness at young ages and risk of breast cancer throughout life,American Journal of Epidemiology,2010,"['Adiposity', 'Adolescent', 'Breast neoplasms', 'Child', 'Obesity']",United States,187,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1767,50,7.4214e-5,263.569,,typesafe/jev-1.13-20260917,gen-dec-1789843872-QaVxlRZ2Z0lqvYG3FRu0,,1d16b25dcca8,2026-09-19T18:51:19+0000
38,SCOPUS_ID:84929335072,10.2105/AJPH.2015.302628,"Polling places, pharmacies, and public health: Vote &amp; Vax 2012",American Journal of Public Health,2015,[],United States,3,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.06,FALSE,no,0,0.99,1529,50,6.4218e-5,262.108,,typesafe/jev-1.13-20260917,gen-dec-1789843873-vGC4uxc90c7dj2CKFvY6,,1d16b25dcca8,2026-09-19T18:51:19+0000
39,SCOPUS_ID:85133980653,10.1093/aje/kwac025,Sampling Validation Data to Achieve a Planned Precision of the Bias-Adjusted Estimate of Effect,American Journal of Epidemiology,2022,"['epidemiologic methods', 'quantitative bias analysis', 'study design', 'validation substudies']",United States,1,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1577,50,6.6234e-5,266.544,,typesafe/jev-1.13-20260917,gen-dec-1789843873-LOTR3YDUm3xDYYPNUKwW,,1d16b25dcca8,2026-09-19T18:51:19+0000
40,SCOPUS_ID:0028170572,10.2105/AJPH.84.9.1439,Black-White differences in serum cotinine levels among pregnant women and subsequent effects on infant birthweight,American Journal of Public Health,1994,[],United States,95,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1610,50,6.762e-5,272.795,,typesafe/jev-1.13-20260917,gen-dec-1789843873-eWcUlcRca6Zw2mDmKAYq,,1d16b25dcca8,2026-09-19T18:51:19+0000
41,SCOPUS_ID:79952050640,10.1093/ije/dyq164,Prospective cohort study of breast implants and the risk of connective-tissue diseases,International Journal of Epidemiology,2011,"['Breast implants', 'Cohort studies', 'Connective-tissue diseases', ""Women's health""]",United States,20,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1809,50,7.5978e-5,306.711,,typesafe/jev-1.13-20260917,gen-dec-1789843873-r7GzW3fW3fzOJPwJbxt6,,1d16b25dcca8,2026-09-19T18:51:19+0000
42,SCOPUS_ID:0041803240,10.1023/A:1024686625528,Birth weight and risk of angina pectoris: Analysis in Swedish twins,European Journal of Epidemiology,2003,"['Angina pectoris', 'Birth weight', 'Coronary heart disease', 'Twin study']",Sweden,17,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1762,50,7.4004e-5,257.109,,typesafe/jev-1.13-20260917,gen-dec-1789843873-WQxf44yiZlRQ0szC28Ju,,1d16b25dcca8,2026-09-19T18:51:19+0000
43,SCOPUS_ID:0030889263,,"The Dutch EPIC Food Frequency Questionnaire. I. Description of the questionnaire, and relative validity and reproducibility for food groups",International Journal of Epidemiology,1997,"['EPIC', 'Food frequency questionnaire', 'Food groups', 'Food photographs', 'Relative validity', 'Reproducibility']",Netherlands,362,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1701,50,7.1442e-5,311.14000000000004,,typesafe/jev-1.13-20260917,gen-dec-1789843873-6GNgin0Hc1Zbjcz4noln,,1d16b25dcca8,2026-09-19T18:51:19+0000
44,SCOPUS_ID:85022341794,10.1016/j.ypmed.2017.07.005,"Is the link between movement and mental health a two-way street? Prospective associations between physical activity, sedentary behaviour and depressive symptoms among women living in socioeconomically disadvantaged neighbourhoods",Preventive Medicine,2017,"['Exercise, sedentary lifestyle', 'Mental health', 'Sitting', 'Vulnerable populations', 'Women']",Australia,27,FALSE,FALSE,,FALSE,,,,,,,,FALSE,,FALSE,,,FALSE,FALSE,,TRUE,0.03,FALSE,no,0,1,1834,50,7.7028e-5,277.67199999999997,,typesafe/jev-1.13-20260917,gen-dec-1789843873-sCLjliF1JOekyM79LxMt,,1d16b25dcca8,2026-09-19T18:51:19+0000
