source_row,review_id,scopus_id,doi,title,journal,keywords,DB_policy_claim,db notes,EC_policy_claim,ec notes,concordance,...13,...14,db_double_checked,...16,ok,jev_p_yes,jev_policy_claim,jev_choice,jev_choice_p_yes,jev_choice_confidence,jev_input_tokens,jev_output_tokens,jev_cost_usd,jev_latency_ms,jev_attempts,jev_model,jev_request_id,jev_error,jev_questions_hash,jev_timestamp
31,S400-032,SCOPUS_ID:0036876412,10.1016/S0749-3797(02)00513-5,"Seatbelt use, attitudes, and changes in legislation - An international study",American Journal Of Preventive Medicine,"['Attitude', 'Motor vehicles', 'Public health', 'Seat belts', 'Students', 'Wounds and injuries']",TRUE,,TRUE,,,,,,,TRUE,0.63,TRUE,yes,0.7,0.4,1722,50,7.2324e-5,268.866,,typesafe/jev-1.13-20260917,gen-dec-1789843883-RL3uGopVvfqwVbV7VR3p,,1d16b25dcca8,2026-09-19T18:51:29+0000
32,S400-033,SCOPUS_ID:74549114742,10.1097/EDE.0b013e3181b5f3b0,Mental vulnerability and survival after cancer,Epidemiology,[],FALSE,,FALSE,,,,,,,TRUE,0.02,FALSE,no,0,1,1602,50,6.7284e-5,334.911,,typesafe/jev-1.13-20260917,gen-dec-1789843883-uxHdx4eAhMoCjwG5s3Bn,,1d16b25dcca8,2026-09-19T18:51:29+0000
33,S400-034,SCOPUS_ID:84960395680,10.1093/aje/kwv299,"The potential trajectory of carbapenem-resistant enterobacteriaceae, an emerging threat to health-care facilities, and the impact of the centers for disease control and prevention toolkit",American Journal Of Epidemiology,"['carbapenem-resistant Enterobacteriaceae', 'control measures', 'coordinated responses', 'regional spread', 'surveillance']",TRUE,,TRUE,,,,,,,TRUE,0.36,FALSE,no,0.25,0.51,1667,50,7.0014e-5,594.36,,typesafe/jev-1.13-20260917,gen-dec-1789843883-u7or3Nf0ET70RsB6gbRz,,1d16b25dcca8,2026-09-19T18:51:29+0000
34,S400-035,SCOPUS_ID:0036230530,10.1097/00001648-200205000-00020,The urban spread of visceral leishmaniasis: Clues from spatial analysis,Epidemiology,"['Brazil', 'Clustering', 'Geographic information systems', 'Infectious disease', 'Smoothing', 'Spatial analysis', 'Visceral leishmaniasis']",FALSE,,FALSE,,,,,,,TRUE,0.82,TRUE,yes,0.95,0.9,1502,50,6.3084e-5,545.942,,typesafe/jev-1.13-20260917,gen-dec-1789843883-cCKFUOgDR4mkmOtAKpAk,,1d16b25dcca8,2026-09-19T18:51:29+0000
35,S400-036,SCOPUS_ID:35648998938,10.1093/eurpub/ckl262,Diet and exercise intervention in a general population - Mediators of participation and adherence: The Inter99 study,European Journal Of Public Health,"['Community participation', 'Diet', 'Exercise', 'Intervention study', 'Mediators']",TRUE,,FALSE,They seem to ask for more research?,!!!,,,FALSE,,TRUE,0.19,FALSE,no,0.06,0.88,1700,50,7.14e-5,432.521,,typesafe/jev-1.13-20260917,gen-dec-1789843883-6An5iKjjZcruN2WoFlXF,,1d16b25dcca8,2026-09-19T18:51:29+0000
36,S400-037,SCOPUS_ID:0033024558,10.1023/A:1007535722726,How do general practitioners approach hepatitis C virus screening in France?,European Journal Of Epidemiology,"['Anti-HCV testing', 'Blood transfusion', 'France', 'General practice', 'Sentinel network']",TRUE,,TRUE,,,,,,,TRUE,0.1,FALSE,no,0.01,0.97,1846,50,7.7532e-5,312.44,,typesafe/jev-1.13-20260917,gen-dec-1789843883-VUa6eJag9i9LUOnHTDmf,,1d16b25dcca8,2026-09-19T18:51:29+0000
37,S400-038,SCOPUS_ID:85028983494,10.1007/s10654-017-0298-z,Relationship of very low serum 25-hydroxyvitamin D<inf>3</inf> levels with long-term survival in a large cohort of colorectal cancer patients from Germany,European Journal Of Epidemiology,"['Colorectal cancer', 'Dose–response relationship', 'Survival', 'Vitamin D']",FALSE,,FALSE,borderline,,,,,,TRUE,0.19,FALSE,no,0.08,0.84,1862,50,7.8204e-5,260.6,,typesafe/jev-1.13-20260917,gen-dec-1789843883-fiSxY4wr3SlKpd9QCIUL,,1d16b25dcca8,2026-09-19T18:51:29+0000
38,S400-039,SCOPUS_ID:34548309485,10.1016/j.ypmed.2007.06.014,The effectiveness of brief advice and extended smoking cessation counseling programs when implemented routinely in hospitals,Preventive Medicine,"['Brief intervention', 'Counseling', 'Hospital', 'Implementation', 'In-patient', 'Smoking cessation']",TRUE,,TRUE,,,,,,,TRUE,0.55,TRUE,yes,0.64,0.29,1678,50,7.0476e-5,303.015,,typesafe/jev-1.13-20260917,gen-dec-1789843883-7rXCsA8XMXUDiBZvv6jB,,1d16b25dcca8,2026-09-19T18:51:29+0000
39,S400-040,SCOPUS_ID:0034880586,10.1016/S0091-7435(01)80002-5,Factors associated with daily smoking among Israeli adolescents: A prospective cohort study with a 3-year follow-up,Preventive Medicine,"['Adolescents', 'Predictor variables', 'Smoking']",TRUE,,TRUE,,,,,,,TRUE,0.91,TRUE,yes,0.99,0.98,1856,50,7.7952e-5,251.164,,typesafe/jev-1.13-20260917,gen-dec-1789843883-ZuDxBcb6uVg4pzMPThR3,,1d16b25dcca8,2026-09-19T18:51:29+0000
40,S400-041,SCOPUS_ID:33751575201,10.2105/AJPH.2005.071035,Racial/ethnic disparities in report of physician-provided smoking cessation advice: Analysis of the 2000 National Health Interview Survey,American Journal Of Public Health,[],TRUE,,TRUE,,,,,,,TRUE,0.86,TRUE,yes,0.98,0.95,1665,50,6.993e-5,360.595,,typesafe/jev-1.13-20260917,gen-dec-1789843883-t2tJWrTwu5wEy8ZI21BB,,1d16b25dcca8,2026-09-19T18:51:29+0000
41,S400-042,SCOPUS_ID:0035283430,10.1093/aje/153.5.453,"Associations of blood lead, dimercaptosuccinic acid-chelatable lead, and tibia lead with neurobehavioral test scores in South Korean lead workers",American Journal Of Epidemiology,"['Cross-sectional studies', 'Lead', 'Lead poisoning, nervous system, adult', 'Nervous system', 'Neurobehavioral manifestations', 'Neurologic manifestations', 'Occupational exposure', 'Spectrometry, x-ray emission']",FALSE,,FALSE,,,,,,,TRUE,0.02,FALSE,no,0,1,1661,50,6.9762e-5,336.039,,typesafe/jev-1.13-20260917,gen-dec-1789843883-6heih9JluapZrwuAyytD,,1d16b25dcca8,2026-09-19T18:51:29+0000
42,S400-043,SCOPUS_ID:0033047729,10.1093/ije/28.1.113,Capture-recapture method for estimating misclassification errors: Application to the measurement of vaccine efficacy in randomized controlled trials,International Journal Of Epidemiology,"['Capture-recapture', 'Efficacy', 'Log-linear models', 'Misclassification', 'Pertussis', 'Vaccine']",FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1673,50,7.0266e-5,334.701,,typesafe/jev-1.13-20260917,gen-dec-1789843884-f1Xb1BljTa5z7Ddc4dcV,,1d16b25dcca8,2026-09-19T18:51:29+0000
43,S400-044,SCOPUS_ID:0036605502,10.1093/aje/155.11.1007,Lower limb venous insufficiency and tobacco smoking: A case-control study,American Journal Of Epidemiology,"['Case-control studies', 'Leg', 'Risk factors', 'Smoking', 'Tobacco', 'Venous insufficiency']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1708,50,7.1736e-5,299.239,,typesafe/jev-1.13-20260917,gen-dec-1789843884-gIwz1x61hNoYMy5Fy43M,,1d16b25dcca8,2026-09-19T18:51:29+0000
44,S400-045,SCOPUS_ID:0032810632,10.2105/AJPH.89.9.1406,Prevalence and correlates of survival sex among runaway and homeless youth,American Journal Of Public Health,[],TRUE,,TRUE,,,,,,,TRUE,0.95,TRUE,yes,1,1,1482,50,6.2244e-5,257.367,,typesafe/jev-1.13-20260917,gen-dec-1789843884-DXhRDyJG89W7sCiWhBE4,,1d16b25dcca8,2026-09-19T18:51:29+0000
45,S400-046,SCOPUS_ID:84880143281,10.2105/AJPH.2012.301075,Measles vaccination: Before the measles-mumps-rubella vaccine,American Journal Of Public Health,[],TRUE,non-empirical,TRUE,,,,,,,TRUE,0.62,TRUE,yes,0.76,0.52,1578,50,6.6276e-5,564.2420000000001,,typesafe/jev-1.13-20260917,gen-dec-1789843884-rBmi4ZZMNLVyKIB9FvQm,,1d16b25dcca8,2026-09-19T18:51:29+0000
46,S400-047,SCOPUS_ID:84960193645,10.1093/aje/kwv175,Correlates of Peripheral Blood Mitochondrial DNA Content in a General Population,American Journal Of Epidemiology,"['General population', 'mitochondrial DNA', 'peripheral blood']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1722,50,7.2324e-5,311.66700000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843884-cDCIQQfSD30J6qiUR4vW,,1d16b25dcca8,2026-09-19T18:51:29+0000
47,S400-048,SCOPUS_ID:1942445076,10.1093/eurpub/14.1.19,The incidence and repetition of attempted suicide in Ireland,European Journal Of Public Health,"['Attempted suicide', 'Incidence', 'Ireland']",FALSE,,FALSE,,,,,,,TRUE,0.13,FALSE,no,0.03,0.93,1775,50,7.455e-5,275.432,,typesafe/jev-1.13-20260917,gen-dec-1789843884-P0Zwec3uKZBDb7MASDxn,,1d16b25dcca8,2026-09-19T18:51:29+0000
48,S400-049,SCOPUS_ID:0030297061,10.1006/pmed.1996.9998,Home apnea monitoring and sudden infant death syndrome,Preventive Medicine,"['apnea monitor', 'race', 'Sudden Infant Death Syndrome']",FALSE,,FALSE,,,,,,,TRUE,0.05,FALSE,no,0,1,1759,50,7.3878e-5,307.587,,typesafe/jev-1.13-20260917,gen-dec-1789843884-YOSGO3zENxGXYELbf0Dt,,1d16b25dcca8,2026-09-19T18:51:29+0000
49,S400-050,SCOPUS_ID:84872530047,10.2105/AJPH.2012.300743,Fundamental causes of colorectal cancer mortality in the United States: Understanding the importance of socioeconomic status in creating inequality in mortality,American Journal Of Public Health,[],FALSE,,FALSE,,,,,,,TRUE,0.04,FALSE,no,0,1,1563,50,6.5646e-5,339.31600000000003,,typesafe/jev-1.13-20260917,gen-dec-1789843884-1189LeEisfRzILSBBI7j,,1d16b25dcca8,2026-09-19T18:51:29+0000
50,S400-051,SCOPUS_ID:85040967357,10.1016/j.amepre.2017.12.005,Nonfatal Injuries to Law Enforcement Officers: A Rise in Assaults,American Journal Of Preventive Medicine,[],TRUE,,TRUE,,,,,,,TRUE,0.78,TRUE,yes,0.9,0.8,1758,50,7.3836e-5,276.978,,typesafe/jev-1.13-20260917,gen-dec-1789843884-RhNCFuBKlWRTJtJKqHZO,,1d16b25dcca8,2026-09-19T18:51:29+0000
51,S400-052,SCOPUS_ID:84964047116,10.1097/eDe.0000000000000449,Evaluating additive interaction using survival percentiles,Epidemiology,[],FALSE,,FALSE,,,,,,,TRUE,0.02,FALSE,no,0,1,1647,50,6.9174e-5,281.07,,typesafe/jev-1.13-20260917,gen-dec-1789843884-SxEaBrmWn6X88CNhbHkh,,1d16b25dcca8,2026-09-19T18:51:29+0000
52,S400-053,SCOPUS_ID:84879879356,10.1097/EDE.0b013e3182949ce5,Does ambient air pollution trigger stillbirth?,Epidemiology,[],FALSE,,FALSE,,,,,,,TRUE,0.05,FALSE,no,0,1,1785,50,7.497e-5,328.918,,typesafe/jev-1.13-20260917,gen-dec-1789843884-OlnHwefsB412RFdxoJiM,,1d16b25dcca8,2026-09-19T18:51:29+0000
53,S400-054,SCOPUS_ID:84863718076,10.1007/s10654-012-9675-9,Early respiratory morbidity in a multicultural birth cohort: The Generation R Study,European Journal Of Epidemiology,"['Ethnicity', 'Infants', 'Pre and postnatal exposures', 'Prospective birth cohort', 'Respiratory symptoms']",FALSE,,FALSE,,,,,,,TRUE,0.03,FALSE,no,0,1,1749,50,7.3458e-5,260.179,,typesafe/jev-1.13-20260917,gen-dec-1789843884-tTu7WW5LJVB5o78h3EnQ,,1d16b25dcca8,2026-09-19T18:51:29+0000
